date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2017/12/27	(주)대웅제약	81945	600586	1.0	2.0	2.0	2.0	1.0	0	0
2017/12/26	(주)대웅제약	81945	600141	3.0	3.0	3.0	3.0	3.0	1	1
2017/12/21	(주)대웅제약	81945	598628	3.0	4.0	2.0	4.0	3.0	1	0
2017/12/14	(주)대웅제약	81945	596285	5.0	4.0	2.0	3.0	4.0	1	1
2017/12/14	(주)대웅제약	81945	596254	2.0	3.0	2.0	3.0	2.0	0	0
2017/12/11	(주)대웅제약	81945	594800	1.0	2.0	1.0	1.0	1.0	0	0
2017/12/11	(주)대웅제약	81945	594687	3.0	3.0	1.0	2.0	1.0	0	1
2017/12/3	(주)대웅제약	81945	591593	1.0	2.0	3.0	1.0	1.0	0	1
2017/12/2	(주)대웅제약	81945	591264	1.0	1.0	1.0	1.0	1.0	0	0
2017/12/25	한미약품(주)	2669	599924	1.0	3.0	1.0	2.0	2.0	0	1
2017/12/25	한미약품(주)	2669	599826	4.0	4.0	1.0	5.0	3.0	1	1
2017/12/23	한미약품(주)	2669	599446	1.0	3.0	1.0	1.0	3.0	0	1
2017/12/17	한미약품(주)	2669	597104	3.0	4.0	3.0	3.0	3.0	1	1
2017/12/16	한미약품(주)	2669	596826	3.0	3.0	3.0	3.0	3.0	1	1
2017/12/12	한미약품(주)	2669	595174	3.0	4.0	3.0	2.0	2.0	0	1
2017/12/12	한미약품(주)	2669	595029	3.0	3.0	2.0	3.0	3.0	1	1
2017/12/3	한미약품(주)	2669	591398	2.0	2.0	4.0	4.0	2.0	1	1
2017/12/31	종근당(주)	55954	601832	3.0	3.0	1.0	1.0	1.0	1	1
2017/12/26	종근당(주)	55954	600138	2.0	3.0	2.0	2.0	1.0	1	1
2017/12/1	종근당(주)	55954	590968	3.0	4.0	2.0	2.0	2.0	1	1
2017/12/1	종근당(주)	55954	590959	3.0	3.0	2.0	2.0	2.0	1	1
2017/12/12	(주)녹십자	83348	595412	3.0	1.0	5.0	2.0	2.0	1	1
2017/12/10	(주)녹십자	83348	594443	4.0	5.0	5.0	1.0	4.0	0	1
2017/12/9	(주)녹십자	83348	594040	4.0	2.0	2.0	3.0	3.0	0	1
2017/12/8	굿네이버스인터내셔날(사)	86785	593823	3.0	3.0	2.0	3.0	2.0	0	1
2017/12/1	굿네이버스인터내셔날(사)	86785	590642	2.0	3.0	3.0	3.0	2.0	0	0
2017/12/28	(주)셀트리온	71498	600987	3.0	3.0	1.0	3.0	1.0	1	1
2017/12/20	(주)셀트리온	71498	598143	4.0	4.0	3.0	4.0	4.0	1	1
2017/12/2	(주)셀트리온	71498	591266	3.0	4.0	3.0	3.0	3.0	1	1
2017/12/21	제일약품(주)	11279	598991	2.0	2.0	3.0	1.0	3.0	0	1
2017/12/15	제일약품(주)	11279	596534	4.0	3.0	3.0	4.0	4.0	1	1
2017/12/15	제일약품(주)	11279	596522	2.0	2.0	1.0	1.0	2.0	0	0
2017/12/15	제일약품(주)	11279	596508	3.0	1.0	4.0	3.0	2.0	0	1
2017/12/1	제일약품(주)	11279	590825	2.0	2.0	3.0	1.0	3.0	0	1
2017/12/31	한국유나이티드제약(주)	3243	601796	1.0	1.0	1.0	1.0	1.0	0	0
2017/12/29	한국유나이티드제약(주)	3243	601431	3.0	1.0	3.0	1.0	1.0	0	0
2017/12/29	서울대학교병원	28516	601513	1.0	4.0	3.0	3.0	3.0	1	1
2017/12/16	서울대학교병원	28516	596866	4.0	4.0	4.0	4.0	3.0	1	1
2017/12/11	서울대학교병원	28516	594820	2.0	3.0	2.0	2.0	3.0	0	1
2017/12/11	서울대학교병원	28516	594770	2.0	4.0	2.0	2.0	2.0	0	1
2017/12/11	서울대학교병원	28516	594538	3.0	4.0	1.0	3.0	2.0	0	1
2017/12/5	국립암센터	89425	592466	3.0	2.0	5.0	3.0	3.0	1	1
2017/12/1	국립암센터	89425	590848	3.0	3.0	4.0	4.0	3.0	0	1
2017/12/21	보령제약(주)	32152	598627	1.0	3.0	2.0	1.0	1.0	0	1
