date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2018/1/27	(주)대웅제약	81945	613297	2.0	3.0	3.0	2.0	1.0	0	1
2018/1/25	(주)대웅제약	81945	612508	2.0	3.0	3.0	3.0	1.0	0	1
2018/1/22	(주)대웅제약	81945	611071	3.0	3.0	2.0	2.0	1.0	1	1
2018/1/22	(주)대웅제약	81945	610868	1.0	3.0	2.0	1.0	1.0	0	0
2018/1/10	(주)대웅제약	81945	605607	1.0	3.0	2.0	3.0	2.0	0	1
2018/1/26	한미약품(주)	2669	612904	2.0	2.0	3.0	1.0	1.0	0	1
2018/1/18	한미약품(주)	2669	609186	3.0	3.0	3.0	3.0	3.0	0	1
2018/1/16	한미약품(주)	2669	608322	3.0	4.0	2.0	2.0	3.0	1	1
2018/1/13	한미약품(주)	2669	607118	4.0	4.0	2.0	3.0	3.0	0	1
2018/1/5	한미약품(주)	2669	603846	1.0	1.0	1.0	1.0	2.0	0	1
2018/1/4	한미약품(주)	2669	603160	1.0	3.0	4.0	4.0	4.0	1	1
2018/1/31	종근당(주)	55954	614840	3.0	3.0	1.0	1.0	2.0	0	1
2018/1/31	종근당(주)	55954	614793	3.0	3.0	3.0	4.0	3.0	1	1
2018/1/22	종근당(주)	55954	610848	4.0	3.0	1.0	4.0	1.0	0	1
2018/1/15	종근당(주)	55954	607698	3.0	4.0	2.0	2.0	1.0	0	1
2018/1/4	종근당(주)	55954	603425	2.0	3.0	3.0	1.0	1.0	0	1
2018/1/30	(주)녹십자	83348	614452	2.0	3.0	2.0	1.0	2.0	0	1
2018/1/25	(주)녹십자	83348	612576	1.0	1.0	1.0	3.0	2.0	0	1
2018/1/16	(주)녹십자	83348	608078	1.0	3.0	4.0	5.0	5.0	1	1
2018/1/10	(주)녹십자	83348	605785	3.0	2.0	3.0	2.0	3.0	0	1
2018/1/27	굿네이버스인터내셔날(사)	86785	613143	5.0	3.0	2.0	3.0	3.0	0	1
2018/1/25	굿네이버스인터내셔날(사)	86785	612565	1.0	1.0	1.0	1.0	1.0	0	0
2018/1/27	(주)셀트리온	71498	613111	4.0	5.0	5.0	4.0	4.0	1	1
2018/1/23	(주)셀트리온	71498	611553	2.0	4.0	2.0	4.0	2.0	1	1
2018/1/21	(주)셀트리온	71498	610353	4.0	3.0	2.0	3.0	3.0	1	1
2018/1/12	(주)셀트리온	71498	606833	4.0	2.0	3.0	4.0	4.0	1	1
2018/1/10	(주)셀트리온	71498	605719	3.0	3.0	4.0	3.0	3.0	0	0
2018/1/10	(주)셀트리온	71498	605576	4.0	2.0	2.0	3.0	3.0	0	1
2018/1/24	한국유나이티드제약(주)	3243	611993	1.0	1.0	1.0	1.0	1.0	0	0
2018/1/24	한국유나이티드제약(주)	3243	611950	1.0	1.0	3.0	1.0	1.0	0	1
2018/1/24	한국유나이티드제약(주)	3243	611939	4.0	2.0	2.0	4.0	2.0	0	1
