date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2018/9/30	대한무역투자진흥공사	87825	832218	3.0	4.0	3.0	4.0	4.0	1	1
2018/9/29	대한무역투자진흥공사	87825	831738	3.0	3.0	3.0	3.0	3.0	1	1
2018/9/29	대한무역투자진흥공사	87825	831715	3.0	3.0	5.0	1.0	4.0	0	2
2018/9/23	대한무역투자진흥공사	87825	827628	2.0	3.0	1.0	1.0	3.0	0	1
2018/9/20	대한무역투자진흥공사	87825	824669	2.0	4.0	5.0	4.0	4.0	1	1
2018/9/18	대한무역투자진흥공사	87825	822373	3.0	2.0	4.0	4.0	4.0	0	1
2018/9/18	대한무역투자진흥공사	87825	822200	4.0	4.0	4.0	4.0	4.0	1	1
2018/9/17	대한무역투자진흥공사	87825	821783	3.0	3.0	3.0	4.0	3.0	1	1
2018/9/17	대한무역투자진흥공사	87825	821010	4.0	4.0	4.0	4.0	4.0	1	2
2018/9/16	대한무역투자진흥공사	87825	820378	4.0	5.0	4.0	5.0	3.0	1	1
2018/9/14	대한무역투자진흥공사	87825	819122	3.0	4.0	3.0	4.0	5.0	1	2
2018/9/13	대한무역투자진흥공사	87825	818064	3.0	2.0	5.0	4.0	4.0	0	1
2018/9/13	대한무역투자진흥공사	87825	817401	4.0	4.0	4.0	4.0	4.0	1	1
2018/9/11	대한무역투자진흥공사	87825	814935	4.0	4.0	3.0	3.0	3.0	1	1
2018/9/10	대한무역투자진흥공사	87825	813690	3.0	4.0	4.0	4.0	3.0	1	1
2018/9/7	대한무역투자진흥공사	87825	810936	3.0	3.0	3.0	4.0	4.0	1	2
2018/9/5	대한무역투자진흥공사	87825	809116	3.0	4.0	2.0	4.0	2.0	0	1
2018/9/5	대한무역투자진흥공사	87825	808324	4.0	4.0	4.0	4.0	4.0	1	1
2018/9/4	대한무역투자진흥공사	87825	806366	1.0	1.0	1.0	1.0	1.0	0	None
2018/9/3	대한무역투자진흥공사	87825	805560	2.0	1.0	1.0	1.0	2.0	0	1
2018/9/2	대한무역투자진흥공사	87825	804789	4.0	4.0	4.0	4.0	4.0	1	1
2018/9/26	삼일회계법인	86770	828971	3.0	5.0	3.0	3.0	4.0	1	2
2018/9/26	삼일회계법인	86770	828725	3.0	3.0	3.0	3.0	3.0	1	1
