date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2018/4/30	대한무역투자진흥공사	87825	660171	3.0	3.0	2.0	2.0	2.0	0	1
2018/4/30	대한무역투자진흥공사	87825	659743	3.0	4.0	3.0	4.0	3.0	1	2
2018/4/29	대한무역투자진흥공사	87825	659550	4.0	4.0	5.0	5.0	5.0	1	2
2018/4/26	대한무역투자진흥공사	87825	657536	4.0	3.0	4.0	3.0	3.0	1	2
2018/4/26	대한무역투자진흥공사	87825	657455	3.0	3.0	3.0	3.0	5.0	1	1
2018/4/22	대한무역투자진흥공사	87825	653458	4.0	4.0	3.0	3.0	3.0	0	1
2018/4/18	대한무역투자진흥공사	87825	651080	2.0	2.0	4.0	4.0	2.0	1	1
2018/4/18	대한무역투자진흥공사	87825	650630	3.0	4.0	3.0	3.0	2.0	1	1
2018/4/13	대한무역투자진흥공사	87825	648657	3.0	4.0	5.0	4.0	3.0	1	1
2018/4/13	대한무역투자진흥공사	87825	648633	1.0	3.0	3.0	3.0	3.0	0	1
2018/4/10	대한무역투자진흥공사	87825	646934	4.0	4.0	3.0	3.0	3.0	1	1
2018/4/8	대한무역투자진흥공사	87825	645806	4.0	4.0	3.0	4.0	3.0	1	None
2018/4/5	대한무역투자진흥공사	87825	644282	4.0	3.0	3.0	4.0	2.0	0	1
2018/4/26	삼일회계법인	86770	657021	3.0	1.0	1.0	2.0	5.0	0	1
2018/4/22	삼일회계법인	86770	653486	3.0	3.0	2.0	5.0	3.0	0	2
2018/4/14	삼일회계법인	86770	649093	5.0	5.0	3.0	5.0	5.0	1	2
2018/4/10	삼일회계법인	86770	646927	3.0	1.0	1.0	4.0	3.0	1	1
2018/4/9	삼일회계법인	86770	646426	5.0	2.0	3.0	4.0	3.0	1	1
2018/4/8	삼일회계법인	86770	645702	4.0	3.0	3.0	3.0	3.0	1	1
2018/4/4	삼일회계법인	86770	643691	3.0	4.0	1.0	3.0	3.0	1	1
2018/4/30	안진회계법인	89197	659708	4.0	4.0	3.0	4.0	3.0	1	2
2018/4/27	안진회계법인	89197	658367	3.0	3.0	2.0	3.0	2.0	0	1
2018/4/26	안진회계법인	89197	657672	3.0	3.0	1.0	3.0	3.0	1	None
2018/4/22	안진회계법인	89197	653616	3.0	2.0	2.0	5.0	3.0	0	1
2018/4/21	안진회계법인	89197	652910	4.0	3.0	4.0	5.0	1.0	1	2
2018/4/19	안진회계법인	89197	651210	3.0	2.0	2.0	3.0	3.0	1	1
2018/4/10	안진회계법인	89197	646617	3.0	3.0	2.0	3.0	1.0	0	1
2018/4/2	안진회계법인	89197	642756	2.0	2.0	1.0	2.0	2.0	0	1
2018/4/2	안진회계법인	89197	642659	4.0	4.0	2.0	4.0	4.0	0	1
2018/4/2	안진회계법인	89197	642427	2.0	3.0	1.0	2.0	2.0	0	None
2018/4/25	삼정회계법인	91077	655880	4.0	5.0	3.0	3.0	3.0	0	1
2018/4/23	삼정회계법인	91077	654557	3.0	2.0	2.0	2.0	3.0	0	2
2018/4/23	삼정회계법인	91077	654458	3.0	2.0	1.0	2.0	1.0	0	None
2018/4/9	삼정회계법인	91077	646496	3.0	2.0	1.0	2.0	2.0	0	1
2018/4/23	한영회계법인	89243	653996	3.0	3.0	3.0	3.0	3.0	0	1
2018/4/21	한영회계법인	89243	653216	3.0	3.0	3.0	4.0	2.0	0	1
2018/4/19	한영회계법인	89243	651325	4.0	4.0	2.0	4.0	2.0	0	2
2018/4/18	한영회계법인	89243	650890	3.0	3.0	3.0	3.0	3.0	1	2
2018/4/9	한영회계법인	89243	646180	4.0	2.0	2.0	3.0	2.0	0	1
2018/4/7	한영회계법인	89243	645637	3.0	3.0	4.0	4.0	3.0	1	1
2018/4/2	한영회계법인	89243	642739	4.0	4.0	1.0	5.0	1.0	0	2
