date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2014/11/19	대한무역투자진흥공사	87825	57052	3.0	3.0	2.0	3.0	3.0	1	1
2014/11/18	대한무역투자진흥공사	87825	56581	4.0	2.0	3.0	5.0	4.0	1	1
2014/11/12	대한무역투자진흥공사	87825	54898	3.0	2.0	3.0	2.0	2.0	1	1
2014/11/10	대한무역투자진흥공사	87825	54023	2.0	3.0	2.0	3.0	3.0	0	1
2014/11/5	대한무역투자진흥공사	87825	52727	2.0	4.0	2.0	5.0	2.0	1	2
2014/11/5	대한무역투자진흥공사	87825	52439	4.0	4.0	4.0	5.0	5.0	1	2
2014/11/4	대한무역투자진흥공사	87825	52001	3.0	4.0	5.0	4.0	3.0	1	1
2014/11/30	삼일회계법인	86770	60812	4.0	3.0	2.0	5.0	2.0	1	1
2014/11/30	삼일회계법인	86770	60747	2.0	2.0	1.0	3.0	2.0	0	None
2014/11/29	삼일회계법인	86770	60576	3.0	3.0	1.0	4.0	3.0	1	2
2014/11/25	삼일회계법인	86770	58842	4.0	4.0	1.0	4.0	4.0	1	1
2014/11/21	삼일회계법인	86770	57801	4.0	4.0	3.0	4.0	3.0	0	1
2014/11/21	삼일회계법인	86770	57767	3.0	2.0	1.0	5.0	1.0	0	1
2014/11/20	삼일회계법인	86770	57310	2.0	3.0	2.0	4.0	1.0	1	1
2014/11/19	삼일회계법인	86770	57103	2.0	2.0	2.0	3.0	1.0	1	1
2014/11/19	삼일회계법인	86770	56805	3.0	2.0	1.0	4.0	3.0	0	1
2014/11/18	삼일회계법인	86770	56514	4.0	1.0	3.0	4.0	2.0	1	2
2014/11/13	삼일회계법인	86770	55292	4.0	4.0	2.0	1.0	2.0	0	1
2014/11/12	삼일회계법인	86770	54691	3.0	2.0	1.0	3.0	2.0	0	1
2014/11/12	삼일회계법인	86770	54689	3.0	3.0	2.0	4.0	2.0	0	1
2014/11/5	삼일회계법인	86770	52746	3.0	2.0	2.0	4.0	4.0	1	1
2014/11/29	안진회계법인	89197	60602	3.0	3.0	1.0	3.0	2.0	0	None
2014/11/25	안진회계법인	89197	59027	2.0	4.0	4.0	3.0	1.0	0	None
2014/11/21	안진회계법인	89197	57787	2.0	3.0	3.0	3.0	3.0	1	1
2014/11/13	안진회계법인	89197	55065	2.0	1.0	1.0	4.0	1.0	0	None
2014/11/13	안진회계법인	89197	54963	3.0	3.0	2.0	3.0	2.0	1	1
2014/11/10	안진회계법인	89197	53937	4.0	3.0	4.0	5.0	3.0	1	1
2014/11/5	안진회계법인	89197	52741	4.0	4.0	4.0	4.0	4.0	1	1
2014/11/5	안진회계법인	89197	52583	3.0	2.0	1.0	4.0	2.0	0	1
2014/11/2	안진회계법인	89197	51478	3.0	3.0	3.0	3.0	3.0	0	1
2014/11/2	안진회계법인	89197	51432	3.0	3.0	2.0	3.0	2.0	0	1
2014/11/30	삼정회계법인	91077	60814	4.0	4.0	1.0	5.0	2.0	1	1
2014/11/27	삼정회계법인	91077	59741	3.0	3.0	2.0	4.0	3.0	1	2
2014/11/22	삼정회계법인	91077	57956	4.0	3.0	3.0	3.0	3.0	1	2
2014/11/12	삼정회계법인	91077	54852	2.0	2.0	2.0	1.0	1.0	0	1
2014/11/3	삼정회계법인	91077	51926	3.0	3.0	3.0	4.0	3.0	1	2
2014/11/3	삼정회계법인	91077	51839	2.0	2.0	1.0	3.0	1.0	0	1
2014/11/27	한영회계법인	89243	59809	4.0	2.0	3.0	4.0	3.0	1	2
2014/11/27	한영회계법인	89243	59701	3.0	4.0	4.0	4.0	2.0	1	2
2014/11/25	한영회계법인	89243	58741	3.0	3.0	1.0	2.0	2.0	0	1
2014/11/21	한영회계법인	89243	57869	3.0	3.0	3.0	3.0	3.0	0	1
