date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2017/6/28	대한무역투자진흥공사	87825	526753	1.0	1.0	3.0	3.0	1.0	1	1
2017/6/26	대한무역투자진흥공사	87825	526234	1.0	3.0	5.0	3.0	3.0	1	2
2017/6/26	대한무역투자진흥공사	87825	526133	3.0	2.0	4.0	5.0	3.0	1	1
2017/6/10	대한무역투자진흥공사	87825	519310	2.0	2.0	4.0	4.0	4.0	1	1
2017/6/1	대한무역투자진흥공사	87825	515823	3.0	3.0	3.0	4.0	3.0	1	2
2017/6/29	삼일회계법인	86770	527731	3.0	3.0	3.0	3.0	3.0	0	1
2017/6/29	삼일회계법인	86770	527690	4.0	4.0	2.0	2.0	3.0	0	1
2017/6/27	삼일회계법인	86770	526532	3.0	4.0	2.0	2.0	2.0	1	1
2017/6/26	삼일회계법인	86770	526093	1.0	2.0	4.0	3.0	2.0	0	1
2017/6/20	삼일회계법인	86770	523865	3.0	2.0	2.0	4.0	2.0	0	1
2017/6/18	삼일회계법인	86770	522645	3.0	2.0	1.0	3.0	3.0	0	1
2017/6/16	삼일회계법인	86770	522080	4.0	2.0	3.0	4.0	1.0	0	1
2017/6/16	삼일회계법인	86770	522045	4.0	2.0	2.0	4.0	2.0	0	1
2017/6/14	삼일회계법인	86770	520824	1.0	1.0	3.0	2.0	1.0	0	1
2017/6/12	삼일회계법인	86770	520052	3.0	2.0	1.0	1.0	1.0	0	1
2017/6/9	삼일회계법인	86770	518889	3.0	2.0	3.0	4.0	1.0	0	None
2017/6/7	삼일회계법인	86770	518103	3.0	3.0	1.0	4.0	2.0	1	1
2017/6/1	삼일회계법인	86770	515469	3.0	2.0	2.0	3.0	3.0	1	1
2017/6/23	삼정회계법인	91077	525121	3.0	3.0	1.0	2.0	1.0	0	None
2017/6/19	삼정회계법인	91077	523232	4.0	3.0	1.0	3.0	3.0	0	1
2017/6/15	삼정회계법인	91077	521538	4.0	4.0	1.0	4.0	1.0	0	1
2017/6/13	삼정회계법인	91077	520396	3.0	3.0	1.0	5.0	1.0	0	1
2017/6/10	삼정회계법인	91077	519318	3.0	3.0	5.0	3.0	1.0	1	None
2017/6/7	삼정회계법인	91077	518172	1.0	2.0	1.0	3.0	1.0	0	None
2017/6/1	삼정회계법인	91077	515854	3.0	3.0	3.0	3.0	3.0	1	1
2017/6/27	한영회계법인	89243	526551	3.0	1.0	1.0	5.0	1.0	0	1
2017/6/21	한영회계법인	89243	524106	4.0	4.0	5.0	5.0	4.0	1	2
2017/6/14	한영회계법인	89243	521168	4.0	3.0	1.0	4.0	3.0	0	2
2017/6/12	한영회계법인	89243	520053	4.0	3.0	1.0	3.0	3.0	0	2
2017/6/10	한영회계법인	89243	519178	4.0	2.0	1.0	4.0	2.0	0	2
2017/6/22	한국과학기술연구원	86772	524617	2.0	3.0	4.0	4.0	3.0	1	1
