date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2016/3/31	대한무역투자진흥공사	87825	299194	3.0	5.0	3.0	4.0	2.0	1	2
2016/3/31	대한무역투자진흥공사	87825	299069	3.0	3.0	3.0	3.0	3.0	0	1
2016/3/30	대한무역투자진흥공사	87825	297974	3.0	4.0	3.0	4.0	4.0	1	2
2016/3/29	대한무역투자진흥공사	87825	297214	1.0	3.0	4.0	2.0	1.0	0	None
2016/3/28	대한무역투자진흥공사	87825	296578	3.0	3.0	3.0	2.0	3.0	1	2
2016/3/28	대한무역투자진흥공사	87825	296281	2.0	3.0	4.0	4.0	4.0	1	2
2016/3/27	대한무역투자진흥공사	87825	295511	5.0	1.0	4.0	4.0	4.0	1	2
2016/3/26	대한무역투자진흥공사	87825	295109	4.0	4.0	4.0	4.0	4.0	1	2
2016/3/26	대한무역투자진흥공사	87825	294937	4.0	4.0	4.0	4.0	4.0	1	1
2016/3/25	대한무역투자진흥공사	87825	294360	3.0	4.0	4.0	4.0	3.0	1	2
2016/3/24	대한무역투자진흥공사	87825	293089	3.0	2.0	3.0	3.0	3.0	1	2
2016/3/23	대한무역투자진흥공사	87825	292508	3.0	3.0	4.0	4.0	3.0	1	1
2016/3/22	대한무역투자진흥공사	87825	291300	1.0	1.0	1.0	1.0	1.0	0	1
2016/3/22	대한무역투자진흥공사	87825	291156	3.0	4.0	4.0	4.0	3.0	1	2
2016/3/22	대한무역투자진흥공사	87825	290669	4.0	5.0	5.0	4.0	3.0	1	1
2016/3/21	대한무역투자진흥공사	87825	290169	2.0	2.0	4.0	4.0	3.0	0	1
2016/3/21	대한무역투자진흥공사	87825	290093	2.0	4.0	4.0	2.0	3.0	1	1
2016/3/21	대한무역투자진흥공사	87825	289953	3.0	3.0	4.0	3.0	3.0	1	2
2016/3/21	대한무역투자진흥공사	87825	289868	3.0	4.0	1.0	4.0	4.0	1	1
2016/3/18	대한무역투자진흥공사	87825	287367	3.0	4.0	3.0	4.0	3.0	1	1
2016/3/18	대한무역투자진흥공사	87825	286630	4.0	4.0	4.0	4.0	1.0	1	1
2016/3/17	대한무역투자진흥공사	87825	286102	4.0	2.0	3.0	4.0	3.0	1	1
2016/3/16	대한무역투자진흥공사	87825	285418	4.0	4.0	3.0	5.0	4.0	1	2
2016/3/14	대한무역투자진흥공사	87825	283680	3.0	2.0	3.0	4.0	3.0	1	1
2016/3/14	대한무역투자진흥공사	87825	283635	3.0	3.0	4.0	4.0	3.0	1	1
2016/3/14	대한무역투자진흥공사	87825	283271	3.0	3.0	2.0	4.0	3.0	1	2
2016/3/14	대한무역투자진흥공사	87825	283203	4.0	4.0	3.0	3.0	3.0	1	1
2016/3/14	대한무역투자진흥공사	87825	282916	2.0	2.0	3.0	4.0	3.0	1	1
2016/3/13	대한무역투자진흥공사	87825	282818	3.0	2.0	2.0	4.0	3.0	1	1
2016/3/8	대한무역투자진흥공사	87825	278374	3.0	3.0	3.0	3.0	3.0	1	2
2016/3/4	대한무역투자진흥공사	87825	275957	4.0	4.0	3.0	5.0	4.0	1	2
2016/3/4	대한무역투자진흥공사	87825	275490	3.0	3.0	2.0	3.0	2.0	0	1
2016/3/2	대한무역투자진흥공사	87825	273684	4.0	3.0	3.0	3.0	3.0	1	1
2016/3/1	대한무역투자진흥공사	87825	272842	4.0	4.0	4.0	4.0	3.0	1	1
2016/3/26	삼일회계법인	86770	294591	3.0	4.0	4.0	4.0	3.0	1	1
2016/3/25	삼일회계법인	86770	294503	4.0	3.0	2.0	3.0	2.0	1	1
2016/3/23	삼일회계법인	86770	292324	3.0	3.0	3.0	3.0	3.0	1	2
2016/3/23	삼일회계법인	86770	291553	3.0	3.0	3.0	3.0	3.0	0	1
2016/3/22	삼일회계법인	86770	291436	1.0	1.0	1.0	1.0	2.0	0	1
2016/3/20	삼일회계법인	86770	288910	3.0	1.0	1.0	1.0	4.0	0	1
2016/3/18	삼일회계법인	86770	287431	3.0	3.0	1.0	4.0	2.0	0	None
2016/3/18	삼일회계법인	86770	287210	3.0	4.0	2.0	4.0	3.0	1	2
2016/3/15	삼일회계법인	86770	284383	4.0	3.0	2.0	3.0	2.0	1	1
2016/3/14	삼일회계법인	86770	283105	4.0	3.0	3.0	4.0	4.0	1	2
2016/3/9	삼일회계법인	86770	280009	4.0	4.0	4.0	4.0	3.0	1	1
2016/3/4	삼일회계법인	86770	275607	3.0	3.0	2.0	4.0	2.0	0	1
2016/3/25	안진회계법인	89197	294271	1.0	4.0	1.0	2.0	1.0	0	1
2016/3/19	안진회계법인	89197	287893	2.0	3.0	2.0	3.0	2.0	0	1
2016/3/18	안진회계법인	89197	286936	3.0	3.0	2.0	4.0	3.0	0	1
2016/3/17	안진회계법인	89197	285713	4.0	3.0	1.0	4.0	3.0	1	1
2016/3/14	안진회계법인	89197	283341	3.0	2.0	1.0	2.0	1.0	0	1
2016/3/10	안진회계법인	89197	280131	4.0	3.0	1.0	4.0	2.0	1	1
2016/3/29	삼정회계법인	91077	296747	4.0	1.0	1.0	3.0	1.0	1	2
2016/3/25	삼정회계법인	91077	294467	4.0	4.0	1.0	3.0	2.0	0	1
2016/3/24	삼정회계법인	91077	292782	4.0	3.0	3.0	4.0	3.0	0	None
2016/3/22	삼정회계법인	91077	290627	3.0	4.0	2.0	5.0	3.0	0	2
2016/3/20	삼정회계법인	91077	288917	3.0	4.0	5.0	5.0	5.0	1	1
2016/3/19	삼정회계법인	91077	288389	2.0	3.0	4.0	4.0	2.0	0	1
2016/3/18	삼정회계법인	91077	287237	3.0	3.0	2.0	4.0	1.0	1	1
2016/3/12	삼정회계법인	91077	282043	3.0	3.0	4.0	4.0	3.0	1	2
2016/3/7	삼정회계법인	91077	277335	2.0	2.0	1.0	2.0	2.0	0	1
2016/3/6	삼정회계법인	91077	277174	3.0	2.0	4.0	2.0	3.0	0	1
2016/3/23	한영회계법인	89243	292539	1.0	1.0	1.0	3.0	1.0	0	None
2016/3/18	한영회계법인	89243	287457	4.0	3.0	5.0	5.0	3.0	1	2
2016/3/17	한영회계법인	89243	285964	3.0	3.0	2.0	5.0	3.0	0	1
2016/3/14	한영회계법인	89243	283235	3.0	4.0	3.0	5.0	1.0	0	2
2016/3/13	한영회계법인	89243	282621	3.0	3.0	2.0	3.0	3.0	1	1
2016/3/11	한영회계법인	89243	281076	3.0	3.0	4.0	4.0	3.0	1	1
2016/3/2	한영회계법인	89243	274411	5.0	4.0	3.0	4.0	4.0	1	2
2016/3/1	한영회계법인	89243	273197	3.0	3.0	4.0	4.0	3.0	1	1
2016/3/29	한국과학기술연구원	86772	297229	1.0	1.0	1.0	2.0	2.0	0	1
2016/3/29	한국과학기술연구원	86772	297228	2.0	3.0	1.0	1.0	1.0	0	1
2016/3/25	한국과학기술연구원	86772	293942	3.0	3.0	5.0	4.0	3.0	0	1
2016/3/22	한국과학기술연구원	86772	290532	4.0	4.0	5.0	3.0	2.0	1	2
2016/3/19	한국과학기술연구원	86772	288048	3.0	3.0	3.0	3.0	3.0	0	1
2016/3/17	한국과학기술연구원	86772	286030	3.0	3.0	1.0	1.0	2.0	0	None
2016/3/17	한국과학기술연구원	86772	285676	2.0	5.0	3.0	3.0	3.0	1	2
2016/3/2	한국과학기술연구원	86772	273829	3.0	3.0	4.0	4.0	3.0	1	2
2016/3/29	(주)한국능률협회컨설팅	48855	297183	3.0	3.0	1.0	2.0	3.0	0	1
2016/3/29	(주)한국능률협회컨설팅	48855	297080	4.0	5.0	3.0	4.0	4.0	1	2
2016/3/28	(주)한국능률협회컨설팅	48855	296227	3.0	3.0	1.0	3.0	2.0	0	1
2016/3/27	(주)한국능률협회컨설팅	48855	295549	3.0	3.0	2.0	3.0	3.0	0	1
2016/3/23	(주)한국능률협회컨설팅	48855	291573	3.0	3.0	2.0	1.0	1.0	0	None
2016/3/19	(주)한국능률협회컨설팅	48855	288507	5.0	4.0	2.0	3.0	3.0	1	2
2016/3/19	(주)한국능률협회컨설팅	48855	288273	3.0	3.0	2.0	3.0	3.0	0	2
2016/3/17	(주)한국능률협회컨설팅	48855	286158	2.0	3.0	2.0	3.0	1.0	0	1
2016/3/10	(주)한국능률협회컨설팅	48855	280556	5.0	5.0	5.0	5.0	5.0	1	1
2016/3/10	(주)한국능률협회컨설팅	48855	280271	4.0	4.0	4.0	4.0	4.0	1	2
2016/3/10	(주)한국능률협회컨설팅	48855	280265	3.0	4.0	4.0	4.0	4.0	1	2
2016/3/9	(주)한국능률협회컨설팅	48855	279285	4.0	3.0	4.0	4.0	4.0	1	2
2016/3/8	(주)한국능률협회컨설팅	48855	278387	4.0	5.0	5.0	5.0	5.0	1	2
2016/3/5	(주)한국능률협회컨설팅	48855	276424	3.0	3.0	4.0	3.0	4.0	1	1
2016/3/4	(주)한국능률협회컨설팅	48855	275858	4.0	3.0	2.0	2.0	2.0	0	1
2016/3/3	(주)한국능률협회컨설팅	48855	275051	4.0	4.0	4.0	4.0	4.0	1	2
2016/3/2	(주)한국능률협회컨설팅	48855	274333	3.0	2.0	1.0	4.0	4.0	1	2
2016/3/30	한국국제협력단	88967	297805	1.0	4.0	1.0	3.0	3.0	0	1
2016/3/28	한국국제협력단	88967	296396	1.0	2.0	4.0	3.0	1.0	1	2
2016/3/22	한국국제협력단	88967	290711	4.0	4.0	4.0	4.0	4.0	1	2
2016/3/21	한국국제협력단	88967	290149	2.0	2.0	5.0	5.0	3.0	1	1
2016/3/19	한국국제협력단	88967	287824	3.0	1.0	2.0	5.0	2.0	0	2
2016/3/16	한국국제협력단	88967	285365	4.0	3.0	2.0	4.0	1.0	1	1
2016/3/15	한국국제협력단	88967	284077	3.0	4.0	3.0	3.0	3.0	1	2
2016/3/14	한국국제협력단	88967	283189	4.0	4.0	4.0	4.0	4.0	1	1
2016/3/4	한국국제협력단	88967	275966	2.0	3.0	3.0	3.0	3.0	0	1
2016/3/2	한국국제협력단	88967	273655	3.0	3.0	3.0	3.0	3.0	1	2
2016/3/30	닐슨코리아	41244	298139	3.0	1.0	1.0	1.0	1.0	0	None
2016/3/29	닐슨코리아	41244	297725	4.0	1.0	1.0	1.0	2.0	0	1
2016/3/26	닐슨코리아	41244	294732	3.0	3.0	5.0	5.0	2.0	1	1
2016/3/26	닐슨코리아	41244	294580	4.0	4.0	3.0	5.0	2.0	0	1
2016/3/23	닐슨코리아	41244	291519	3.0	2.0	2.0	3.0	2.0	0	1
2016/3/9	닐슨코리아	41244	279967	3.0	3.0	4.0	2.0	3.0	0	1
2016/3/2	닐슨코리아	41244	273647	4.0	1.0	1.0	4.0	2.0	0	None
2016/3/31	한국생산성본부	3486	299356	1.0	4.0	3.0	3.0	2.0	1	1
2016/3/29	한국생산성본부	3486	297205	3.0	4.0	2.0	4.0	2.0	0	1
2016/3/25	한국생산성본부	3486	294435	2.0	3.0	4.0	2.0	1.0	0	1
2016/3/25	한국생산성본부	3486	294412	1.0	1.0	3.0	2.0	1.0	0	1
2016/3/23	한국생산성본부	3486	292270	3.0	4.0	5.0	2.0	2.0	1	1
2016/3/22	한국생산성본부	3486	290859	3.0	4.0	4.0	3.0	3.0	0	1
2016/3/21	한국생산성본부	3486	289776	3.0	4.0	4.0	4.0	2.0	1	1
2016/3/21	한국생산성본부	3486	289341	3.0	4.0	5.0	3.0	2.0	1	1
2016/3/18	한국생산성본부	3486	287104	2.0	4.0	3.0	3.0	3.0	1	2
2016/3/16	한국생산성본부	3486	285558	2.0	4.0	4.0	2.0	2.0	1	1
2016/3/9	한국생산성본부	3486	279519	3.0	3.0	4.0	2.0	2.0	0	1
2016/3/4	한국생산성본부	3486	275730	2.0	4.0	5.0	3.0	3.0	0	None
2016/3/29	(주)윕스	60409	297185	4.0	4.0	4.0	3.0	2.0	1	1
2016/3/26	(주)윕스	60409	295077	3.0	2.0	4.0	4.0	3.0	1	2
2016/3/21	(주)윕스	60409	289333	3.0	1.0	4.0	4.0	2.0	1	2
2016/3/15	(주)윕스	60409	284143	1.0	2.0	3.0	2.0	2.0	0	1
2016/3/6	(주)윕스	60409	276675	3.0	4.0	1.0	4.0	2.0	0	None
