date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2016/7/31	스타벅스커피코리아(주)	100	70749	370452	3.0	4.0	4.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/29	스타벅스커피코리아(주)	100	70749	369844	4.0	3.0	4.0	4.0	2.0	1	0	서비스/고객지원	전직원	서울	 0 	False
2016/7/28	스타벅스커피코리아(주)	100	70749	369509	3.0	4.0	3.0	3.0	4.0	1	1	서비스/고객지원	현직원	서울	 0 	False
2016/7/22	스타벅스커피코리아(주)	100	70749	366326	3.0	2.0	1.0	3.0	1.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/18	스타벅스커피코리아(주)	100	70749	363980	2.0	3.0	3.0	2.0	2.0	0	1	서비스/고객지원	전직원	대구	 1 	False
2016/7/14	스타벅스커피코리아(주)	100	70749	362433	2.0	2.0	1.0	2.0	2.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/14	스타벅스커피코리아(주)	100	70749	362300	3.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 1 	False
2016/7/12	스타벅스커피코리아(주)	100	70749	361038	3.0	1.0	1.0	3.0	4.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/11	스타벅스커피코리아(주)	100	70749	359987	4.0	4.0	4.0	2.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/10	스타벅스커피코리아(주)	100	70749	359772	4.0	4.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/8	스타벅스커피코리아(주)	100	70749	358962	3.0	2.0	3.0	4.0	3.0	1	1	서비스/고객지원	현직원	서울	 0 	False
2016/7/8	스타벅스커피코리아(주)	100	70749	358872	3.0	3.0	4.0	3.0	2.0	0	1	IT/인터넷	현직원	대구	 0 	False
2016/7/6	스타벅스커피코리아(주)	100	70749	357569	5.0	4.0	4.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/5	스타벅스커피코리아(주)	100	70749	357204	4.0	3.0	2.0	4.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/3	스타벅스커피코리아(주)	100	70749	355958	2.0	3.0	5.0	5.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/2	스타벅스커피코리아(주)	100	70749	355413	3.0	2.0	1.0	3.0	3.0	0	1	서비스/고객지원	전직원	부산	 0 	False
2016/7/1	스타벅스커피코리아(주)	100	70749	355017	1.0	4.0	3.0	1.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/27	한국맥도날드(유)	100	3616	368642	4.0	3.0	4.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/22	한국맥도날드(유)	100	3616	366280	3.0	4.0	4.0	4.0	4.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2016/7/20	한국맥도날드(유)	100	3616	365400	4.0	4.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/19	한국맥도날드(유)	100	3616	364597	5.0	4.0	3.0	4.0	3.0	1	1	서비스/고객지원	현직원	경기	 0 	False
2016/7/18	한국맥도날드(유)	100	3616	364067	4.0	4.0	3.0	4.0	4.0	1	1	서비스/고객지원	전직원	대구	 0 	False
2016/7/18	한국맥도날드(유)	100	3616	363877	4.0	3.0	1.0	4.0	2.0	1	1	서비스/고객지원	현직원	부산	 0 	False
2016/7/11	한국맥도날드(유)	100	3616	360284	2.0	3.0	3.0	2.0	3.0	0	0	경영/기획/컨설팅	전직원	서울	 0 	False
2016/7/4	한국맥도날드(유)	100	3616	356369	3.0	4.0	5.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/7/2	한국맥도날드(유)	100	3616	355560	5.0	3.0	4.0	5.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
