date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2019/1/31	스타벅스커피코리아(주)	100	70749	971500	1.0	1.0	1.0	1.0	1.0	0	0	서비스/고객지원	현직원	기타	 1 	False
2019/1/30	스타벅스커피코리아(주)	100	70749	970119	3.0	3.0	4.0	4.0	2.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/29	스타벅스커피코리아(주)	100	70749	969836	4.0	3.0	4.0	1.0	5.0	0	1	서비스/고객지원	현직원	경기	 0 	False
2019/1/29	스타벅스커피코리아(주)	100	70749	969631	3.0	3.0	3.0	3.0	3.0	0	1	서비스/고객지원	전직원	서울	 1 	False
2019/1/29	스타벅스커피코리아(주)	100	70749	969585	4.0	4.0	3.0	4.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/29	스타벅스커피코리아(주)	100	70749	969267	4.0	4.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/28	스타벅스커피코리아(주)	100	70749	968321	2.0	2.0	4.0	4.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/28	스타벅스커피코리아(주)	100	70749	968039	2.0	4.0	3.0	4.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/26	스타벅스커피코리아(주)	100	70749	965940	4.0	4.0	5.0	4.0	4.0	0	1	서비스/고객지원	현직원	부산	 0 	False
2019/1/26	스타벅스커피코리아(주)	100	70749	965443	2.0	3.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2019/1/25	스타벅스커피코리아(주)	100	70749	964784	5.0	5.0	5.0	5.0	5.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/25	스타벅스커피코리아(주)	100	70749	964654	2.0	3.0	3.0	3.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/25	스타벅스커피코리아(주)	100	70749	963984	5.0	5.0	4.0	5.0	2.0	1	1	서비스/고객지원	전직원	대전	 0 	False
2019/1/25	스타벅스커피코리아(주)	100	70749	963970	1.0	1.0	1.0	1.0	1.0	0	0	서비스/고객지원	전직원	경기	 0 	False
2019/1/23	스타벅스커피코리아(주)	100	70749	961588	2.0	5.0	4.0	5.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/23	스타벅스커피코리아(주)	100	70749	961369	4.0	5.0	2.0	4.0	4.0	1	1	서비스/고객지원	현직원	경기	 0 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	960747	4.0	4.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	960708	4.0	4.0	4.0	4.0	4.0	1	1	서비스/고객지원	전직원	대전	 0 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	960619	3.0	1.0	1.0	4.0	4.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	960173	3.0	2.0	1.0	1.0	1.0	0	1	서비스/고객지원	전직원	대구	 1 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	960085	3.0	3.0	2.0	3.0	2.0	0	1	서비스/고객지원	전직원	기타	 0 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	959859	3.0	2.0	3.0	2.0	3.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2019/1/22	스타벅스커피코리아(주)	100	70749	959545	4.0	4.0	4.0	4.0	3.0	1	1	서비스/고객지원	전직원	대구	 0 	False
2019/1/21	스타벅스커피코리아(주)	100	70749	958876	2.0	4.0	5.0	4.0	3.0	1	1	서비스/고객지원	전직원	대구	 0 	False
2019/1/21	스타벅스커피코리아(주)	100	70749	958374	4.0	5.0	2.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
