date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2017/2/28	스타벅스커피코리아(주)	100	70749	473431	4.0	5.0	3.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2017/2/24	스타벅스커피코리아(주)	100	70749	471473	3.0	3.0	3.0	3.0	2.0	0	1	서비스/고객지원	전직원	대전	 0 	False
2017/2/23	스타벅스커피코리아(주)	100	70749	471182	4.0	3.0	5.0	3.0	4.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2017/2/15	스타벅스커피코리아(주)	100	70749	467278	2.0	2.0	3.0	3.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2017/2/15	스타벅스커피코리아(주)	100	70749	467166	3.0	3.0	2.0	4.0	3.0	0	1	서비스/고객지원	전직원	서울	 2 	False
2017/2/13	스타벅스커피코리아(주)	100	70749	466071	3.0	4.0	4.0	4.0	4.0	1	1	서비스/고객지원	현직원	경남	 0 	False
2017/2/6	스타벅스커피코리아(주)	100	70749	462293	2.0	3.0	1.0	2.0	1.0	0	1	경영/기획/컨설팅	전직원	서울	 1 	False
2017/2/4	스타벅스커피코리아(주)	100	70749	461869	3.0	3.0	3.0	4.0	4.0	1	1	서비스/고객지원	현직원	경기	 0 	False
2017/2/4	스타벅스커피코리아(주)	100	70749	461716	3.0	3.0	3.0	2.0	3.0	1	1	서비스/고객지원	현직원	대전	 0 	False
2017/2/25	한국맥도날드(유)	100	3616	472097	2.0	2.0	2.0	2.0	4.0	0	1	서비스/고객지원	전직원	경남	 0 	False
2017/2/24	한국맥도날드(유)	100	3616	471689	3.0	2.0	3.0	2.0	3.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2017/2/17	한국맥도날드(유)	100	3616	468138	3.0	4.0	5.0	4.0	4.0	1	1	생산/제조	전직원	울산	 0 	False
2017/2/16	한국맥도날드(유)	100	3616	467770	3.0	3.0	3.0	4.0	2.0	0	1	서비스/고객지원	전직원	부산	 0 	False
2017/2/15	한국맥도날드(유)	100	3616	467156	4.0	4.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2017/2/15	한국맥도날드(유)	100	3616	467010	2.0	1.0	1.0	1.0	1.0	0	0	영업/제휴	전직원	경기	 1 	False
2017/2/15	한국맥도날드(유)	100	3616	466815	3.0	2.0	2.0	2.0	3.0	0	1	디자인	전직원	대구	 0 	False
2017/2/14	한국맥도날드(유)	100	3616	466183	2.0	3.0	3.0	3.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2017/2/9	한국맥도날드(유)	100	3616	464274	3.0	2.0	1.0	2.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2017/2/9	한국맥도날드(유)	100	3616	464108	3.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2017/2/9	한국맥도날드(유)	100	3616	463874	4.0	4.0	4.0	4.0	3.0	0	0	서비스/고객지원	전직원	부산	 0 	False
2017/2/8	한국맥도날드(유)	100	3616	463672	4.0	4.0	4.0	5.0	4.0	1	1	생산/제조	전직원	경기	 0 	False
2017/2/5	한국맥도날드(유)	100	3616	462081	4.0	3.0	4.0	4.0	4.0	1	1	영업/제휴	현직원	서울	 0 	False
2017/2/1	한국맥도날드(유)	100	3616	460488	3.0	1.0	3.0	2.0	3.0	0	1	서비스/고객지원	전직원	경남	 0 	False
2017/2/21	(주)하나투어	100	49174	469556	2.0	2.0	4.0	3.0	2.0	0	0	마케팅/시장조사	전직원	서울	 1 	False
2017/2/19	(주)하나투어	100	49174	468761	5.0	3.0	4.0	4.0	4.0	1	1	영업/제휴	현직원	서울	 0 	False
2017/2/16	(주)하나투어	100	49174	467327	3.0	3.0	4.0	4.0	3.0	1	1	마케팅/시장조사	전직원	서울	 0 	False
