date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2015/12/30	스타벅스커피코리아(주)	100	70749	232908	4.0	2.0	3.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/29	스타벅스커피코리아(주)	100	70749	232065	3.0	3.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	부산	 0 	False
2015/12/29	스타벅스커피코리아(주)	100	70749	232039	3.0	2.0	2.0	3.0	3.0	0	1	서비스/고객지원	전직원	서울	 1 	False
2015/12/28	스타벅스커피코리아(주)	100	70749	231569	3.0	5.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/27	스타벅스커피코리아(주)	100	70749	231277	5.0	2.0	4.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/26	스타벅스커피코리아(주)	100	70749	231054	2.0	5.0	2.0	1.0	3.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2015/12/21	스타벅스커피코리아(주)	100	70749	229151	3.0	4.0	2.0	4.0	3.0	1	1	서비스/고객지원	전직원	부산	 0 	False
2015/12/21	스타벅스커피코리아(주)	100	70749	228665	4.0	4.0	3.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/19	스타벅스커피코리아(주)	100	70749	227897	2.0	5.0	3.0	3.0	2.0	0	0	서비스/고객지원	현직원	경기	 0 	False
2015/12/19	스타벅스커피코리아(주)	100	70749	227819	3.0	3.0	2.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 1 	False
2015/12/18	스타벅스커피코리아(주)	100	70749	227611	3.0	3.0	1.0	4.0	2.0	0	1	서비스/고객지원	전직원	대구	 19 	True
2015/12/16	스타벅스커피코리아(주)	100	70749	226065	4.0	5.0	2.0	3.0	3.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2015/12/12	스타벅스커피코리아(주)	100	70749	223809	4.0	2.0	2.0	5.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/9	스타벅스커피코리아(주)	100	70749	221437	4.0	5.0	1.0	2.0	1.0	0	0	서비스/고객지원	전직원	부산	 9 	True
2015/12/8	스타벅스커피코리아(주)	100	70749	221303	4.0	3.0	4.0	4.0	5.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2015/12/3	스타벅스커피코리아(주)	100	70749	218191	5.0	3.0	2.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/3	스타벅스커피코리아(주)	100	70749	217910	3.0	3.0	1.0	1.0	1.0	0	1	생산/제조	전직원	서울	 0 	False
2015/12/2	스타벅스커피코리아(주)	100	70749	217537	4.0	4.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/31	한국맥도날드(유)	100	3616	233124	5.0	5.0	4.0	5.0	5.0	1	1	유통/무역	전직원	경기	 0 	False
2015/12/29	한국맥도날드(유)	100	3616	231999	4.0	4.0	5.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/23	한국맥도날드(유)	100	3616	230149	2.0	2.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/22	한국맥도날드(유)	100	3616	229747	4.0	3.0	1.0	4.0	2.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2015/12/22	한국맥도날드(유)	100	3616	229261	3.0	2.0	1.0	3.0	3.0	0	1	서비스/고객지원	전직원	인천	 0 	False
2015/12/14	한국맥도날드(유)	100	3616	224638	2.0	3.0	2.0	4.0	3.0	1	1	생산/제조	현직원	서울	 0 	False
2015/12/10	한국맥도날드(유)	100	3616	222739	3.0	3.0	2.0	3.0	3.0	0	1	생산/제조	전직원	경기	 0 	False
2015/12/8	한국맥도날드(유)	100	3616	221290	2.0	2.0	2.0	2.0	2.0	0	1	서비스/고객지원	전직원	인천	 0 	False
2015/12/8	한국맥도날드(유)	100	3616	221255	4.0	4.0	2.0	3.0	3.0	1	1	서비스/고객지원	전직원	부산	 0 	False
2015/12/7	한국맥도날드(유)	100	3616	220562	4.0	3.0	3.0	4.0	4.0	1	1	영업/제휴	현직원	기타	 0 	False
2015/12/6	한국맥도날드(유)	100	3616	219645	4.0	3.0	4.0	3.0	3.0	1	1	서비스/고객지원	현직원	광주	 0 	False
2015/12/6	한국맥도날드(유)	100	3616	219606	3.0	2.0	2.0	4.0	3.0	0	1	생산/제조	전직원	서울	 0 	False
2015/12/5	한국맥도날드(유)	100	3616	219156	2.0	2.0	2.0	2.0	2.0	0	1	경영/기획/컨설팅	전직원	서울	 1 	False
2015/12/4	한국맥도날드(유)	100	3616	218568	4.0	4.0	4.0	4.0	4.0	1	1	인사/총무	현직원	서울	 0 	False
2015/12/3	한국맥도날드(유)	100	3616	218162	3.0	3.0	4.0	3.0	4.0	0	1	생산/제조	전직원	인천	 0 	False
2015/12/2	한국맥도날드(유)	100	3616	217361	3.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/12/2	한국맥도날드(유)	100	3616	217296	4.0	2.0	1.0	4.0	3.0	0	1	서비스/고객지원	전직원	대구	 0 	False
2015/12/2	한국맥도날드(유)	100	3616	217116	4.0	1.0	3.0	4.0	3.0	0	1	서비스/고객지원	전직원		 0 	False
2015/12/28	(주)하나투어	100	49174	231794	2.0	3.0	1.0	2.0	1.0	0	1	서비스/고객지원	전직원	서울	 1 	False
2015/12/23	(주)하나투어	100	49174	230022	4.0	1.0	5.0	4.0	3.0	1	1	마케팅/시장조사	현직원	서울	 0 	False
2015/12/15	(주)하나투어	100	49174	225717	4.0	2.0	2.0	2.0	3.0	0	1	IT/인터넷	전직원	서울	 1 	False
2015/12/14	(주)하나투어	100	49174	224786	3.0	3.0	2.0	2.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
