date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2016/10/31	스타벅스커피코리아(주)	100	70749	412493	3.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/31	스타벅스커피코리아(주)	100	70749	412349	4.0	3.0	2.0	4.0	3.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2016/10/31	스타벅스커피코리아(주)	100	70749	412275	2.0	2.0	2.0	3.0	3.0	1	1	서비스/고객지원	전직원	인천	 0 	False
2016/10/29	스타벅스커피코리아(주)	100	70749	411676	5.0	5.0	5.0	5.0	3.0	1	1	서비스/고객지원	현직원	서울	 0 	False
2016/10/27	스타벅스커피코리아(주)	100	70749	411000	4.0	4.0	2.0	3.0	4.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/27	스타벅스커피코리아(주)	100	70749	410814	4.0	2.0	2.0	4.0	3.0	0	1	서비스/고객지원	전직원	인천	 0 	False
2016/10/26	스타벅스커피코리아(주)	100	70749	410174	3.0	4.0	3.0	3.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/26	스타벅스커피코리아(주)	100	70749	409951	3.0	2.0	2.0	2.0	2.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/25	스타벅스커피코리아(주)	100	70749	409805	3.0	2.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/24	스타벅스커피코리아(주)	100	70749	408895	2.0	3.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/23	스타벅스커피코리아(주)	100	70749	408844	3.0	4.0	3.0	3.0	4.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/20	스타벅스커피코리아(주)	100	70749	407464	3.0	4.0	3.0	3.0	4.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/19	스타벅스커피코리아(주)	100	70749	406476	4.0	3.0	2.0	4.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/18	스타벅스커피코리아(주)	100	70749	406188	3.0	4.0	4.0	3.0	4.0	1	1	영업/제휴	전직원	서울	 0 	False
2016/10/18	스타벅스커피코리아(주)	100	70749	406122	4.0	3.0	2.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/17	스타벅스커피코리아(주)	100	70749	405628	2.0	1.0	2.0	2.0	2.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/17	스타벅스커피코리아(주)	100	70749	405404	4.0	3.0	3.0	2.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/13	스타벅스커피코리아(주)	100	70749	403796	4.0	4.0	3.0	4.0	4.0	1	1	서비스/고객지원	전직원	충북	 0 	False
2016/10/13	스타벅스커피코리아(주)	100	70749	403549	3.0	4.0	2.0	3.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/12	스타벅스커피코리아(주)	100	70749	402893	4.0	3.0	2.0	4.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/9	스타벅스커피코리아(주)	100	70749	401669	4.0	4.0	3.0	3.0	4.0	1	1	서비스/고객지원	현직원	서울	 0 	False
2016/10/7	스타벅스커피코리아(주)	100	70749	400944	5.0	2.0	3.0	5.0	4.0	1	1	영업/제휴	전직원	경남	 0 	False
2016/10/7	스타벅스커피코리아(주)	100	70749	400860	3.0	2.0	1.0	4.0	3.0	0	1	서비스/고객지원	전직원	대전	 0 	False
2016/10/5	스타벅스커피코리아(주)	100	70749	399654	5.0	4.0	3.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/31	한국맥도날드(유)	100	3616	412243	4.0	2.0	3.0	3.0	3.0	0	1	서비스/고객지원	전직원	인천	 0 	False
2016/10/25	한국맥도날드(유)	100	3616	409701	3.0	4.0	3.0	3.0	4.0	0	1	서비스/고객지원	전직원	대구	 0 	False
2016/10/19	한국맥도날드(유)	100	3616	407024	5.0	5.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	대구	 0 	False
2016/10/19	한국맥도날드(유)	100	3616	406630	4.0	4.0	2.0	3.0	3.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/18	한국맥도날드(유)	100	3616	406317	4.0	4.0	4.0	3.0	4.0	1	1	서비스/고객지원	전직원	부산	 0 	False
2016/10/18	한국맥도날드(유)	100	3616	406210	4.0	3.0	1.0	4.0	3.0	1	1	서비스/고객지원	전직원	부산	 0 	False
2016/10/14	한국맥도날드(유)	100	3616	404609	3.0	3.0	3.0	3.0	3.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/10	한국맥도날드(유)	100	3616	401937	4.0	3.0	3.0	5.0	2.0	1	1	서비스/고객지원	현직원	울산	 0 	False
2016/10/6	한국맥도날드(유)	100	3616	400572	4.0	2.0	2.0	2.0	1.0	1	1	영업/제휴	전직원	경남	 0 	False
2016/10/5	한국맥도날드(유)	100	3616	400046	2.0	3.0	4.0	3.0	1.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/4	한국맥도날드(유)	100	3616	399424	3.0	1.0	1.0	1.0	1.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2016/10/31	(주)하나투어	100	49174	412208	3.0	2.0	4.0	3.0	2.0	0	1	영업/제휴	전직원	서울	 0 	False
2016/10/30	(주)하나투어	100	49174	411964	4.0	3.0	4.0	4.0	4.0	1	1	영업/제휴	전직원	서울	 0 	False
2016/10/29	(주)하나투어	100	49174	411580	3.0	2.0	3.0	3.0	2.0	0	0	영업/제휴	전직원	전남	 1 	False
2016/10/27	(주)하나투어	100	49174	410813	3.0	4.0	3.0	3.0	2.0	1	1	영업/제휴	전직원	서울	 0 	False
2016/10/24	(주)하나투어	100	49174	409211	3.0	3.0	3.0	3.0	2.0	0	1	서비스/고객지원	전직원	인천	 1 	False
2016/10/14	(주)하나투어	100	49174	404268	3.0	4.0	5.0	4.0	3.0	1	1	인사/총무	현직원	서울	 1 	False
2016/10/13	(주)하나투어	100	49174	403607	4.0	3.0	4.0	5.0	2.0	0	0	영업/제휴	현직원	서울	 0 	False
2016/10/11	(주)하나투어	100	49174	402635	3.0	2.0	5.0	5.0	4.0	1	1	마케팅/시장조사	전직원	서울	 1 	False
2016/10/11	롯데지알에스(주) 롯데리아	100	78632	402743	3.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2016/10/11	롯데지알에스(주) 롯데리아	100	78632	402472	3.0	3.0	4.0	5.0	2.0	1	1	서비스/고객지원	전직원	대구	 0 	False
2016/10/8	롯데지알에스(주) 롯데리아	100	78632	401292	4.0	4.0	3.0	4.0	3.0	1	1	마케팅/시장조사	전직원	서울	 0 	False
2016/10/26	(주)세스코	100	71990	410215	2.0	1.0	1.0	3.0	1.0	0	1	연구개발	전직원	서울	 5 	False
2016/10/24	(주)세스코	100	71990	409366	3.0	1.0	1.0	1.0	1.0	0	0	연구개발	현직원	서울	 5 	False
2016/10/22	(주)세스코	100	71990	408260	4.0	2.0	3.0	5.0	4.0	1	1	연구개발	전직원	서울	 3 	False
2016/10/21	(주)세스코	100	71990	408092	1.0	1.0	2.0	1.0	1.0	0	1	서비스/고객지원	전직원	강원	 6 	False
2016/10/21	(주)세스코	100	71990	408090	1.0	1.0	1.0	1.0	2.0	0	0	경영/기획/컨설팅	전직원	서울	 6 	False
2016/10/21	(주)세스코	100	71990	407873	3.0	4.0	5.0	3.0	4.0	1	1	영업/제휴	현직원	서울	 1 	False
2016/10/18	(주)세스코	100	71990	406349	3.0	2.0	3.0	3.0	1.0	0	0	서비스/고객지원	현직원	부산	 0 	False
2016/10/13	(주)세스코	100	71990	403744	1.0	1.0	4.0	2.0	1.0	0	1	영업/제휴	현직원	경기	 8 	False
