date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2018/12/31	스타벅스커피코리아(주)	100	70749	934150	4.0	3.0	4.0	3.0	4.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2018/12/30	스타벅스커피코리아(주)	100	70749	933694	1.0	2.0	3.0	4.0	2.0	0	1	서비스/고객지원	현직원	대구	 0 	False
2018/12/30	스타벅스커피코리아(주)	100	70749	933656	3.0	3.0	2.0	2.0	1.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2018/12/30	스타벅스커피코리아(주)	100	70749	933642	4.0	4.0	4.0	4.0	4.0	1	1	마케팅/시장조사	전직원	서울	 0 	False
2018/12/30	스타벅스커피코리아(주)	100	70749	933512	1.0	1.0	1.0	1.0	1.0	0	1	생산/제조	전직원	서울	 0 	False
2018/12/28	스타벅스커피코리아(주)	100	70749	932267	4.0	4.0	3.0	4.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2018/12/27	스타벅스커피코리아(주)	100	70749	930925	4.0	3.0	2.0	1.0	2.0	0	1	서비스/고객지원	현직원	광주	 0 	False
2018/12/26	스타벅스커피코리아(주)	100	70749	930097	5.0	2.0	2.0	5.0	5.0	1	1	서비스/고객지원	전직원	전남	 0 	False
2018/12/26	스타벅스커피코리아(주)	100	70749	929542	4.0	3.0	2.0	4.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2018/12/25	스타벅스커피코리아(주)	100	70749	929369	3.0	4.0	5.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2018/12/24	스타벅스커피코리아(주)	100	70749	928817	4.0	3.0	1.0	1.0	4.0	1	1	서비스/고객지원	전직원	부산	 1 	False
2018/12/24	스타벅스커피코리아(주)	100	70749	928255	4.0	4.0	5.0	5.0	4.0	1	1	서비스/고객지원	전직원	충남	 0 	False
2018/12/23	스타벅스커피코리아(주)	100	70749	927961	3.0	1.0	1.0	1.0	1.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2018/12/22	스타벅스커피코리아(주)	100	70749	926922	3.0	3.0	3.0	3.0	3.0	1	1	유통/무역	전직원	경기	 0 	False
2018/12/20	스타벅스커피코리아(주)	100	70749	925692	4.0	3.0	3.0	4.0	2.0	0	1	서비스/고객지원	전직원	광주	 0 	False
2018/12/18	스타벅스커피코리아(주)	100	70749	922630	4.0	3.0	2.0	3.0	2.0	0	1	생산/제조	전직원	서울	 0 	False
2018/12/17	스타벅스커피코리아(주)	100	70749	922016	4.0	3.0	2.0	4.0	3.0	1	1	서비스/고객지원	전직원	전남	 0 	False
2018/12/17	스타벅스커피코리아(주)	100	70749	921821	3.0	5.0	3.0	5.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2018/12/14	스타벅스커피코리아(주)	100	70749	919309	4.0	2.0	3.0	3.0	4.0	1	1	서비스/고객지원	전직원	대구	 0 	False
2018/12/13	스타벅스커피코리아(주)	100	70749	918190	1.0	4.0	2.0	5.0	5.0	0	1	서비스/고객지원	전직원	제주	 0 	False
2018/12/13	스타벅스커피코리아(주)	100	70749	917889	4.0	3.0	3.0	4.0	2.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2018/12/13	스타벅스커피코리아(주)	100	70749	917660	3.0	3.0	2.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2018/12/13	스타벅스커피코리아(주)	100	70749	917306	3.0	3.0	2.0	2.0	2.0	1	1	서비스/고객지원	전직원	부산	 0 	False
