date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2015/4/28	스타벅스커피코리아(주)	100	70749	110352	3.0	4.0	3.0	3.0	3.0	0	1	서비스/고객지원	현직원	경기	 0 	False
2015/4/24	스타벅스커피코리아(주)	100	70749	108427	3.0	4.0	2.0	2.0	1.0	0	1	인사/총무	전직원	서울	 6 	False
2015/4/20	스타벅스커피코리아(주)	100	70749	106812	2.0	4.0	3.0	3.0	3.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2015/4/16	스타벅스커피코리아(주)	100	70749	105421	3.0	4.0	2.0	4.0	3.0	0	1	서비스/고객지원	전직원	부산	 0 	False
2015/4/10	스타벅스커피코리아(주)	100	70749	103551	4.0	4.0	2.0	3.0	3.0	1	1	서비스/고객지원	전직원	경기	 0 	False
2015/4/26	한국맥도날드(유)	100	3616	109449	4.0	4.0	2.0	2.0	4.0	0	1	서비스/고객지원	현직원	대구	 0 	False
2015/4/25	한국맥도날드(유)	100	3616	108934	3.0	3.0	2.0	3.0	3.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2015/4/22	한국맥도날드(유)	100	3616	107480	4.0	4.0	1.0	2.0	2.0	0	1	서비스/고객지원	현직원	부산	 0 	False
2015/4/17	한국맥도날드(유)	100	3616	105531	5.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	현직원	경남	 0 	False
2015/4/28	(주)하나투어	100	49174	110444	2.0	1.0	3.0	2.0	1.0	0	1	경영/기획/컨설팅	현직원	서울	 0 	False
2015/4/27	(주)하나투어	100	49174	110000	3.0	2.0	3.0	4.0	3.0	1	1	영업/제휴	전직원	서울	 1 	False
2015/4/17	(주)하나투어	100	49174	105875	3.0	1.0	3.0	3.0	2.0	1	1	경영/기획/컨설팅	전직원	경기	 0 	False
2015/4/12	(주)하나투어	100	49174	103876	3.0	3.0	5.0	4.0	4.0	1	1	마케팅/시장조사	현직원	서울	 4 	True
2015/4/2	(주)하나투어	100	49174	101115	4.0	2.0	4.0	3.0	3.0	1	1	기타	전직원	서울	 0 	False
2015/4/21	롯데지알에스(주) 롯데리아	100	78632	107160	4.0	4.0	1.0	1.0	2.0	0	1	서비스/고객지원	전직원	대구	 2 	False
2015/4/18	롯데지알에스(주) 롯데리아	100	78632	105969	2.0	4.0	3.0	2.0	3.0	1	1	서비스/고객지원	현직원	서울	 0 	False
2015/4/10	롯데지알에스(주) 롯데리아	100	78632	103598	3.0	3.0	2.0	3.0	3.0	0	1	서비스/고객지원	전직원	부산	 0 	False
2015/4/24	(주)세스코	100	71990	108557	2.0	1.0	1.0	1.0	1.0	0	1	마케팅/시장조사	현직원	서울	 0 	False
2015/4/2	(주)세스코	100	71990	101208	3.0	3.0	2.0	2.0	3.0	1	1	인사/총무	전직원	서울	 2 	False
2015/4/20	유베이스(주)	100	87279	106703	3.0	3.0	3.0	4.0	2.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2015/4/27	아워홈(주)	100	68269	110004	5.0	5.0	5.0	5.0	5.0	1	1	전문직	현직원	경기	 0 	False
2015/4/23	아워홈(주)	100	68269	108331	3.0	2.0	3.0	3.0	1.0	1	1	영업/제휴	전직원	서울	 0 	False
2015/4/23	아워홈(주)	100	68269	108181	3.0	3.0	3.0	3.0	3.0	1	1	기타	전직원	경기	 1 	False
2015/4/23	아워홈(주)	100	68269	107973	4.0	4.0	4.0	4.0	3.0	1	1	영업/제휴	현직원	대전	 1 	False
2015/4/22	아워홈(주)	100	68269	107576	1.0	1.0	2.0	2.0	1.0	0	0	인사/총무	전직원	서울	 2 	False
2015/4/6	아워홈(주)	100	68269	101998	1.0	1.0	3.0	2.0	1.0	0	1	영업/제휴	전직원	서울	 4 	False
2015/4/16	아웃백스테이크하우스코리아(유)	100	86465	105221	3.0	3.0	2.0	3.0	3.0	0	0	기타	전직원	경기	 0 	False
2015/4/14	아웃백스테이크하우스코리아(유)	100	86465	104753	3.0	2.0	2.0	3.0	1.0	0	0	서비스/고객지원	전직원	경기	 0 	False
2015/4/1	(주)커피빈코리아	100	53841	100734	2.0	2.0	3.0	3.0	2.0	0	1	서비스/고객지원	전직원	울산	 1 	False
