date	cname	industry_id	cid	cmid	possibility	pay	balance	culture	management	recommend	expect	job_kind	current	area	helpful_count	is_best
2015/7/29	스타벅스커피코리아(주)	100	70749	154894	3.0	3.0	4.0	3.0	3.0	0	1	영업/제휴	전직원		 0 	False
2015/7/27	스타벅스커피코리아(주)	100	70749	153747	3.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/7/22	스타벅스커피코리아(주)	100	70749	151480	3.0	3.0	2.0	2.0	1.0	1	1	서비스/고객지원	전직원	인천	 0 	False
2015/7/22	스타벅스커피코리아(주)	100	70749	151277	4.0	4.0	4.0	4.0	4.0	1	1	서비스/고객지원	현직원	서울	 0 	False
2015/7/21	스타벅스커피코리아(주)	100	70749	151133	3.0	4.0	2.0	3.0	2.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/7/18	스타벅스커피코리아(주)	100	70749	149777	3.0	3.0	3.0	3.0	2.0	0	1	기타	현직원		 5 	True
2015/7/17	스타벅스커피코리아(주)	100	70749	149225	3.0	4.0	3.0	3.0	3.0	1	1	서비스/고객지원	현직원	서울	 0 	True
2015/7/16	스타벅스커피코리아(주)	100	70749	148910	4.0	2.0	1.0	3.0	2.0	0	0	서비스/고객지원	전직원		 0 	False
2015/7/16	스타벅스커피코리아(주)	100	70749	148656	2.0	3.0	2.0	3.0	2.0	0	0	서비스/고객지원	전직원	경기	 36 	False
2015/7/15	스타벅스커피코리아(주)	100	70749	148007	4.0	2.0	3.0	4.0	1.0	0	1	서비스/고객지원	현직원	대전	 0 	False
2015/7/11	스타벅스커피코리아(주)	100	70749	146309	4.0	4.0	4.0	4.0	4.0	1	1	서비스/고객지원	전직원	서울	 0 	False
2015/7/7	스타벅스커피코리아(주)	100	70749	144215	3.0	4.0	2.0	3.0	3.0	0	1	디자인	현직원	서울	 13 	False
2015/7/7	스타벅스커피코리아(주)	100	70749	143800	2.0	3.0	3.0	3.0	3.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2015/7/5	스타벅스커피코리아(주)	100	70749	142890	3.0	3.0	2.0	4.0	1.0	0	1	서비스/고객지원	현직원		 0 	False
2015/7/1	스타벅스커피코리아(주)	100	70749	141322	4.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원	서울	 2 	True
2015/7/31	한국맥도날드(유)	100	3616	155992	5.0	2.0	1.0	5.0	4.0	0	1	서비스/고객지원	전직원	경기	 0 	False
2015/7/29	한국맥도날드(유)	100	3616	154902	5.0	4.0	4.0	5.0	5.0	1	1	전문직	전직원	인천	 0 	False
2015/7/29	한국맥도날드(유)	100	3616	154566	3.0	3.0	3.0	2.0	3.0	0	0	서비스/고객지원	전직원	경북	 0 	False
2015/7/20	한국맥도날드(유)	100	3616	150479	3.0	3.0	2.0	3.0	3.0	0	1	서비스/고객지원	현직원	서울	 0 	False
2015/7/10	한국맥도날드(유)	100	3616	145783	3.0	2.0	1.0	3.0	3.0	0	1	영업/제휴	전직원	경기	 1 	False
2015/7/1	한국맥도날드(유)	100	3616	141337	4.0	3.0	3.0	3.0	3.0	1	1	서비스/고객지원	전직원		 0 	True
2015/7/31	(주)하나투어	100	49174	156113	3.0	2.0	4.0	4.0	4.0	1	1	서비스/고객지원	현직원	인천	 3 	True
2015/7/31	(주)하나투어	100	49174	155891	3.0	2.0	4.0	4.0	3.0	1	1	영업/제휴	현직원	서울	 0 	False
2015/7/27	(주)하나투어	100	49174	153903	4.0	3.0	5.0	4.0	3.0	1	1	영업/제휴	전직원	서울	 0 	True
2015/7/21	(주)하나투어	100	49174	150941	3.0	2.0	3.0	3.0	3.0	1	1	기타	현직원	서울	 0 	False
2015/7/15	(주)하나투어	100	49174	148374	4.0	3.0	3.0	4.0	3.0	1	1	영업/제휴	전직원	서울	 0 	True
2015/7/14	(주)하나투어	100	49174	147792	3.0	2.0	5.0	4.0	4.0	1	1	영업/제휴	현직원	서울	 2 	True
2015/7/13	(주)하나투어	100	49174	147246	4.0	1.0	4.0	4.0	4.0	1	1	영업/제휴	현직원	서울	 0 	True
2015/7/9	(주)하나투어	100	49174	145582	1.0	3.0	3.0	4.0	3.0	0	1	인사/총무	전직원	서울	 1 	False
2015/7/6	(주)하나투어	100	49174	143489	4.0	2.0	5.0	5.0	4.0	1	1	인사/총무	현직원	서울	 0 	False
2015/7/3	(주)하나투어	100	49174	142133	4.0	1.0	5.0	4.0	2.0	0	1	경영/기획/컨설팅	현직원	서울	 0 	False
2015/7/1	(주)하나투어	100	49174	140841	2.0	2.0	3.0	2.0	2.0	0	1	서비스/고객지원	전직원	서울	 0 	False
2015/7/18	롯데지알에스(주) 롯데리아	100	78632	149528	4.0	4.0	2.0	3.0	4.0	1	1	경영/기획/컨설팅	전직원	서울	 3 	True
2015/7/27	(주)세스코	100	71990	153816	2.0	1.0	1.0	1.0	1.0	0	1	경영/기획/컨설팅	현직원	서울	 1 	False
2015/7/22	(주)세스코	100	71990	151710	3.0	1.0	1.0	1.0	5.0	0	1	경영/기획/컨설팅	현직원	서울	 1 	False
2015/7/19	(주)세스코	100	71990	149977	4.0	2.0	1.0	3.0	2.0	0	1	연구개발	현직원	서울	 2 	False
2015/7/14	(주)세스코	100	71990	147778	2.0	1.0	3.0	5.0	2.0	0	1	인사/총무	전직원	서울	 2 	False
2015/7/9	(주)세스코	100	71990	145151	3.0	1.0	1.0	1.0	1.0	0	1	서비스/고객지원	현직원	제주	 3 	False
2015/7/6	(주)세스코	100	71990	143556	1.0	1.0	1.0	3.0	2.0	0	1	영업/제휴	전직원	서울	 65 	True
