cid	possibility	pay	balance	culture	management	recommend	expect
1070960	1.0	3.0	3.0	3.0	2.0	0	None
1069513	4.0	3.0	5.0	5.0	3.0	1	2
1068362	3.0	2.0	2.0	3.0	3.0	1	2
1059163	2.0	2.0	3.0	4.0	3.0	0	2
1054708	3.0	3.0	3.0	3.0	3.0	1	2
