cid	possibility	pay	balance	culture	management	recommend	expect
971548	1.0	1.0	1.0	1.0	1.0	0	None
967937	1.0	2.0	2.0	3.0	2.0	0	1
967535	3.0	3.0	1.0	4.0	3.0	1	2
957398	5.0	4.0	5.0	5.0	5.0	1	2
