date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2017/7/30	스타벅스커피코리아(주)	70749	540437	4.0	4.0	3.0	4.0	4.0	1	2
2017/7/28	스타벅스커피코리아(주)	70749	540035	4.0	4.0	2.0	3.0	2.0	0	1
2017/7/28	스타벅스커피코리아(주)	70749	539845	4.0	2.0	2.0	4.0	3.0	0	2
2017/7/26	스타벅스커피코리아(주)	70749	539005	4.0	4.0	3.0	3.0	4.0	1	1
2017/7/25	스타벅스커피코리아(주)	70749	538314	2.0	5.0	5.0	3.0	2.0	1	2
2017/7/23	스타벅스커피코리아(주)	70749	537530	4.0	3.0	1.0	3.0	3.0	1	1
2017/7/23	스타벅스커피코리아(주)	70749	537522	3.0	4.0	4.0	1.0	3.0	0	1
2017/7/21	스타벅스커피코리아(주)	70749	537024	2.0	3.0	3.0	3.0	1.0	0	2
2017/7/20	스타벅스커피코리아(주)	70749	536280	4.0	4.0	4.0	3.0	3.0	1	2
2017/7/17	스타벅스커피코리아(주)	70749	534785	3.0	4.0	3.0	3.0	3.0	0	None
2017/7/16	스타벅스커피코리아(주)	70749	534389	3.0	3.0	3.0	3.0	3.0	1	1
2017/7/15	스타벅스커피코리아(주)	70749	534229	5.0	4.0	3.0	4.0	4.0	1	2
2017/7/13	스타벅스커피코리아(주)	70749	533446	4.0	3.0	4.0	2.0	3.0	1	1
2017/7/12	스타벅스커피코리아(주)	70749	532786	3.0	3.0	3.0	3.0	3.0	1	1
2017/7/11	스타벅스커피코리아(주)	70749	532573	3.0	4.0	2.0	3.0	3.0	0	2
2017/7/11	스타벅스커피코리아(주)	70749	532272	3.0	4.0	3.0	3.0	3.0	0	1
2017/7/6	스타벅스커피코리아(주)	70749	530402	2.0	2.0	2.0	3.0	2.0	0	1
2017/7/4	스타벅스커피코리아(주)	70749	529625	3.0	3.0	2.0	4.0	2.0	0	None
2017/7/3	스타벅스커피코리아(주)	70749	528925	3.0	2.0	1.0	1.0	2.0	0	None
2017/7/3	스타벅스커피코리아(주)	70749	528856	4.0	4.0	4.0	4.0	4.0	1	1
2017/7/30	한국맥도날드(유)	3616	540337	2.0	2.0	5.0	5.0	2.0	1	2
2017/7/28	한국맥도날드(유)	3616	539840	4.0	4.0	3.0	4.0	4.0	1	1
