date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2015/4/28	스타벅스커피코리아(주)	70749	110352	3.0	4.0	3.0	3.0	3.0	0	1
2015/4/24	스타벅스커피코리아(주)	70749	108427	3.0	4.0	2.0	2.0	1.0	0	1
2015/4/20	스타벅스커피코리아(주)	70749	106812	2.0	4.0	3.0	3.0	3.0	0	2
2015/4/16	스타벅스커피코리아(주)	70749	105421	3.0	4.0	2.0	4.0	3.0	0	1
2015/4/10	스타벅스커피코리아(주)	70749	103551	4.0	4.0	2.0	3.0	3.0	1	2
2015/4/26	한국맥도날드(유)	3616	109449	4.0	4.0	2.0	2.0	4.0	0	2
2015/4/25	한국맥도날드(유)	3616	108934	3.0	3.0	2.0	3.0	3.0	0	1
2015/4/22	한국맥도날드(유)	3616	107480	4.0	4.0	1.0	2.0	2.0	0	1
2015/4/17	한국맥도날드(유)	3616	105531	5.0	3.0	3.0	3.0	3.0	1	1
2015/4/28	(주)하나투어	49174	110444	2.0	1.0	3.0	2.0	1.0	0	1
2015/4/27	(주)하나투어	49174	110000	3.0	2.0	3.0	4.0	3.0	1	2
2015/4/17	(주)하나투어	49174	105875	3.0	1.0	3.0	3.0	2.0	1	2
2015/4/12	(주)하나투어	49174	103876	3.0	3.0	5.0	4.0	4.0	1	2
2015/4/2	(주)하나투어	49174	101115	4.0	2.0	4.0	3.0	3.0	1	1
2015/4/21	롯데지알에스(주) 롯데리아	78632	107160	4.0	4.0	1.0	1.0	2.0	0	1
2015/4/18	롯데지알에스(주) 롯데리아	78632	105969	2.0	4.0	3.0	2.0	3.0	1	1
2015/4/10	롯데지알에스(주) 롯데리아	78632	103598	3.0	3.0	2.0	3.0	3.0	0	1
2015/4/24	(주)세스코	71990	108557	2.0	1.0	1.0	1.0	1.0	0	2
2015/4/2	(주)세스코	71990	101208	3.0	3.0	2.0	2.0	3.0	1	2
2015/4/20	유베이스(주)	87279	106703	3.0	3.0	3.0	4.0	2.0	0	2
2015/4/27	아워홈(주)	68269	110004	5.0	5.0	5.0	5.0	5.0	1	2
2015/4/23	아워홈(주)	68269	108331	3.0	2.0	3.0	3.0	1.0	1	1
2015/4/23	아워홈(주)	68269	108181	3.0	3.0	3.0	3.0	3.0	1	2
2015/4/23	아워홈(주)	68269	107973	4.0	4.0	4.0	4.0	3.0	1	1
2015/4/22	아워홈(주)	68269	107576	1.0	1.0	2.0	2.0	1.0	0	None
2015/4/6	아워홈(주)	68269	101998	1.0	1.0	3.0	2.0	1.0	0	1
2015/4/16	아웃백스테이크하우스코리아(유)	86465	105221	3.0	3.0	2.0	3.0	3.0	0	None
2015/4/14	아웃백스테이크하우스코리아(유)	86465	104753	3.0	2.0	2.0	3.0	1.0	0	None
2015/4/30	트랜스코스모스코리아(주)	51105	111424	3.0	3.0	2.0	2.0	2.0	0	1
2015/4/15	트랜스코스모스코리아(주)	51105	104859	1.0	1.0	1.0	1.0	1.0	0	None
2015/4/2	트랜스코스모스코리아(주)	51105	101013	1.0	1.0	3.0	2.0	1.0	0	None
2015/4/1	(주)커피빈코리아	53841	100734	2.0	2.0	3.0	3.0	2.0	0	1
2015/4/1	(주)커피빈코리아	53841	100732	5.0	1.0	1.0	1.0	1.0	0	None
2015/4/25	(주)호텔신라	47377	109153	4.0	3.0	4.0	4.0	5.0	1	2
2015/4/13	(주)호텔신라	47377	104151	5.0	5.0	5.0	5.0	5.0	0	2
2015/4/12	(주)호텔신라	47377	103859	1.0	2.0	3.0	3.0	3.0	0	2
2015/4/9	(주)호텔신라	47377	103372	2.0	1.0	1.0	2.0	2.0	0	None
2015/4/20	(주)에스텍시스템	89310	106860	5.0	4.0	2.0	3.0	3.0	0	2
2015/4/17	(주)에스텍시스템	89310	105572	2.0	1.0	2.0	2.0	1.0	0	1
2015/4/26	(주)유니에스	87274	109520	3.0	1.0	3.0	1.0	1.0	0	1
2015/4/26	(주)유니에스	87274	109247	4.0	4.0	4.0	5.0	5.0	0	2
