date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2016/4/29	스타벅스커피코리아(주)	70749	318815	5.0	5.0	3.0	4.0	2.0	1	1
2016/4/29	스타벅스커피코리아(주)	70749	318807	4.0	3.0	2.0	3.0	3.0	0	2
2016/4/28	스타벅스커피코리아(주)	70749	318683	3.0	3.0	2.0	5.0	3.0	1	1
2016/4/27	스타벅스커피코리아(주)	70749	317913	4.0	4.0	4.0	4.0	4.0	1	2
2016/4/26	스타벅스커피코리아(주)	70749	316878	4.0	2.0	1.0	3.0	1.0	0	1
2016/4/26	스타벅스커피코리아(주)	70749	316613	4.0	4.0	2.0	2.0	2.0	1	1
2016/4/26	스타벅스커피코리아(주)	70749	316492	1.0	1.0	1.0	1.0	1.0	0	1
2016/4/25	스타벅스커피코리아(주)	70749	316364	4.0	2.0	3.0	5.0	4.0	1	1
2016/4/24	스타벅스커피코리아(주)	70749	315467	3.0	3.0	2.0	2.0	2.0	0	1
2016/4/24	스타벅스커피코리아(주)	70749	315137	2.0	2.0	4.0	4.0	2.0	0	1
2016/4/23	스타벅스커피코리아(주)	70749	314813	4.0	3.0	2.0	4.0	3.0	0	1
2016/4/23	스타벅스커피코리아(주)	70749	314710	5.0	3.0	4.0	5.0	4.0	1	2
2016/4/22	스타벅스커피코리아(주)	70749	313794	5.0	5.0	2.0	5.0	3.0	1	2
2016/4/18	스타벅스커피코리아(주)	70749	310735	4.0	4.0	4.0	4.0	3.0	1	1
2016/4/18	스타벅스커피코리아(주)	70749	310434	3.0	3.0	1.0	3.0	3.0	1	2
2016/4/13	스타벅스커피코리아(주)	70749	307711	4.0	3.0	1.0	3.0	3.0	0	2
2016/4/11	스타벅스커피코리아(주)	70749	306696	3.0	1.0	3.0	3.0	3.0	0	2
2016/4/10	스타벅스커피코리아(주)	70749	306251	5.0	5.0	4.0	4.0	4.0	1	1
2016/4/10	스타벅스커피코리아(주)	70749	306177	2.0	5.0	3.0	4.0	2.0	1	1
2016/4/9	스타벅스커피코리아(주)	70749	305571	3.0	5.0	2.0	5.0	3.0	1	2
2016/4/8	스타벅스커피코리아(주)	70749	304925	3.0	3.0	2.0	4.0	2.0	1	1
2016/4/7	스타벅스커피코리아(주)	70749	304560	3.0	3.0	2.0	2.0	2.0	1	2
2016/4/7	스타벅스커피코리아(주)	70749	304060	1.0	2.0	1.0	1.0	1.0	0	None
2016/4/5	스타벅스커피코리아(주)	70749	302933	2.0	4.0	2.0	3.0	2.0	0	2
2016/4/5	스타벅스커피코리아(주)	70749	302725	3.0	2.0	2.0	3.0	3.0	0	1
2016/4/4	스타벅스커피코리아(주)	70749	302001	3.0	4.0	1.0	1.0	2.0	0	2
2016/4/4	스타벅스커피코리아(주)	70749	301566	4.0	3.0	3.0	4.0	3.0	1	1
2016/4/4	스타벅스커피코리아(주)	70749	301549	3.0	3.0	2.0	3.0	3.0	1	2
2016/4/2	스타벅스커피코리아(주)	70749	300682	3.0	3.0	3.0	3.0	3.0	0	1
2016/4/2	스타벅스커피코리아(주)	70749	300453	3.0	4.0	4.0	5.0	4.0	1	1
2016/4/1	스타벅스커피코리아(주)	70749	299809	3.0	3.0	2.0	4.0	4.0	0	2
2016/4/1	스타벅스커피코리아(주)	70749	299772	3.0	2.0	4.0	1.0	2.0	0	1
2016/4/1	스타벅스커피코리아(주)	70749	299700	2.0	4.0	4.0	3.0	4.0	1	1
2016/4/29	한국맥도날드(유)	3616	318800	4.0	4.0	4.0	4.0	4.0	1	2
2016/4/27	한국맥도날드(유)	3616	317911	3.0	3.0	3.0	3.0	3.0	0	1
2016/4/26	한국맥도날드(유)	3616	316704	1.0	1.0	3.0	3.0	3.0	0	1
2016/4/24	한국맥도날드(유)	3616	315233	4.0	4.0	3.0	4.0	3.0	0	2
2016/4/23	한국맥도날드(유)	3616	314694	4.0	4.0	4.0	3.0	3.0	1	2
2016/4/22	한국맥도날드(유)	3616	314156	3.0	1.0	1.0	1.0	2.0	0	None
2016/4/21	한국맥도날드(유)	3616	313234	3.0	3.0	2.0	2.0	3.0	1	2
2016/4/21	한국맥도날드(유)	3616	313006	3.0	2.0	1.0	2.0	1.0	0	None
2016/4/20	한국맥도날드(유)	3616	312163	4.0	3.0	2.0	3.0	3.0	0	1
2016/4/17	한국맥도날드(유)	3616	310284	5.0	3.0	2.0	3.0	3.0	0	1
2016/4/17	한국맥도날드(유)	3616	310220	3.0	2.0	2.0	3.0	3.0	0	1
2016/4/17	한국맥도날드(유)	3616	310206	4.0	3.0	4.0	2.0	3.0	1	1
2016/4/16	한국맥도날드(유)	3616	309769	3.0	2.0	1.0	4.0	2.0	0	1
2016/4/14	한국맥도날드(유)	3616	308746	2.0	2.0	3.0	3.0	3.0	0	1
2016/4/14	한국맥도날드(유)	3616	308672	3.0	4.0	4.0	2.0	2.0	1	None
2016/4/14	한국맥도날드(유)	3616	308591	4.0	2.0	2.0	3.0	3.0	0	2
2016/4/13	한국맥도날드(유)	3616	307881	4.0	4.0	5.0	5.0	3.0	1	2
2016/4/13	한국맥도날드(유)	3616	307767	3.0	3.0	3.0	4.0	4.0	1	2
2016/4/12	한국맥도날드(유)	3616	307600	4.0	4.0	3.0	3.0	3.0	0	1
2016/4/12	한국맥도날드(유)	3616	307542	5.0	3.0	3.0	3.0	3.0	1	2
2016/4/10	한국맥도날드(유)	3616	306151	3.0	2.0	1.0	4.0	3.0	0	2
2016/4/10	한국맥도날드(유)	3616	305960	4.0	4.0	4.0	4.0	3.0	1	1
2016/4/10	한국맥도날드(유)	3616	305931	3.0	4.0	2.0	3.0	2.0	1	1
2016/4/9	한국맥도날드(유)	3616	305690	3.0	2.0	2.0	4.0	3.0	0	1
2016/4/8	한국맥도날드(유)	3616	305144	4.0	4.0	2.0	2.0	2.0	0	1
2016/4/7	한국맥도날드(유)	3616	304174	4.0	3.0	1.0	2.0	2.0	1	1
2016/4/5	한국맥도날드(유)	3616	302346	4.0	3.0	3.0	3.0	3.0	1	1
2016/4/4	한국맥도날드(유)	3616	302082	3.0	3.0	3.0	4.0	3.0	1	1
2016/4/4	한국맥도날드(유)	3616	301552	2.0	3.0	4.0	4.0	3.0	1	1
2016/4/3	한국맥도날드(유)	3616	301120	5.0	3.0	4.0	5.0	4.0	1	1
2016/4/1	한국맥도날드(유)	3616	300080	5.0	3.0	2.0	4.0	3.0	1	2
2016/4/29	(주)하나투어	49174	319228	3.0	3.0	3.0	4.0	2.0	1	2
2016/4/25	(주)하나투어	49174	316354	3.0	2.0	4.0	3.0	2.0	0	1
2016/4/17	(주)하나투어	49174	310122	3.0	2.0	4.0	3.0	2.0	0	None
2016/4/17	(주)하나투어	49174	309902	3.0	3.0	3.0	3.0	3.0	1	1
2016/4/12	(주)하나투어	49174	307458	4.0	3.0	5.0	4.0	3.0	1	2
2016/4/8	(주)하나투어	49174	305129	2.0	3.0	4.0	3.0	3.0	0	2
2016/4/6	(주)하나투어	49174	303319	3.0	2.0	4.0	3.0	3.0	0	2
2016/4/5	(주)하나투어	49174	303107	3.0	3.0	3.0	4.0	4.0	1	2
2016/4/3	(주)하나투어	49174	301253	4.0	1.0	5.0	4.0	3.0	0	2
2016/4/28	롯데지알에스(주) 롯데리아	78632	318556	3.0	2.0	3.0	2.0	3.0	0	None
2016/4/22	롯데지알에스(주) 롯데리아	78632	314250	3.0	3.0	2.0	3.0	2.0	0	1
2016/4/14	롯데지알에스(주) 롯데리아	78632	308454	3.0	3.0	2.0	3.0	2.0	1	1
2016/4/13	롯데지알에스(주) 롯데리아	78632	307915	4.0	5.0	2.0	3.0	3.0	1	1
2016/4/11	롯데지알에스(주) 롯데리아	78632	306818	4.0	3.0	3.0	2.0	3.0	0	1
2016/4/7	롯데지알에스(주) 롯데리아	78632	304655	1.0	1.0	1.0	1.0	1.0	0	None
2016/4/28	(주)세스코	71990	318037	1.0	1.0	3.0	1.0	1.0	0	1
2016/4/24	(주)세스코	71990	315118	3.0	1.0	4.0	2.0	2.0	0	1
2016/4/23	(주)세스코	71990	314807	4.0	2.0	4.0	2.0	3.0	1	2
2016/4/22	(주)세스코	71990	314249	1.0	1.0	3.0	3.0	1.0	0	1
2016/4/12	(주)세스코	71990	307304	1.0	1.0	1.0	1.0	1.0	0	2
2016/4/11	(주)세스코	71990	306717	2.0	1.0	3.0	2.0	2.0	0	2
2016/4/23	씨제이푸드빌(주)	23183	314561	4.0	3.0	3.0	4.0	2.0	1	2
2016/4/22	씨제이푸드빌(주)	23183	313742	1.0	1.0	1.0	1.0	1.0	0	1
2016/4/21	씨제이푸드빌(주)	23183	312951	4.0	4.0	1.0	2.0	2.0	0	2
2016/4/20	씨제이푸드빌(주)	23183	312752	5.0	4.0	5.0	2.0	3.0	1	2
2016/4/20	씨제이푸드빌(주)	23183	311936	4.0	4.0	3.0	4.0	3.0	1	2
2016/4/9	씨제이푸드빌(주)	23183	305634	3.0	4.0	4.0	3.0	4.0	0	1
2016/4/9	씨제이푸드빌(주)	23183	305608	3.0	4.0	2.0	2.0	2.0	1	1
2016/4/9	씨제이푸드빌(주)	23183	305480	3.0	2.0	1.0	1.0	1.0	0	1
2016/4/3	씨제이푸드빌(주)	23183	300900	4.0	3.0	2.0	3.0	3.0	1	2
2016/4/30	유베이스(주)	87279	319604	3.0	3.0	3.0	3.0	2.0	0	1
2016/4/30	유베이스(주)	87279	319556	3.0	3.0	4.0	2.0	2.0	0	1
2016/4/28	유베이스(주)	87279	318515	3.0	3.0	3.0	3.0	3.0	0	2
2016/4/22	유베이스(주)	87279	313956	3.0	3.0	3.0	3.0	2.0	0	1
2016/4/19	유베이스(주)	87279	311816	3.0	1.0	2.0	3.0	3.0	0	1
2016/4/19	유베이스(주)	87279	311060	5.0	3.0	3.0	4.0	3.0	0	1
2016/4/18	유베이스(주)	87279	310870	3.0	3.0	3.0	2.0	3.0	0	1
2016/4/12	유베이스(주)	87279	307402	4.0	2.0	3.0	3.0	3.0	0	1
2016/4/12	유베이스(주)	87279	307269	3.0	3.0	4.0	3.0	4.0	0	1
2016/4/11	유베이스(주)	87279	306358	2.0	2.0	3.0	2.0	2.0	0	1
2016/4/10	유베이스(주)	87279	306159	3.0	3.0	3.0	5.0	3.0	1	2
2016/4/7	유베이스(주)	87279	304427	2.0	1.0	5.0	2.0	3.0	0	1
2016/4/6	유베이스(주)	87279	303545	2.0	2.0	2.0	2.0	1.0	0	1
