date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2015/7/27	(주)대웅제약	81945	153750	4.0	3.0	2.0	2.0	1.0	0	1
2015/7/19	(주)대웅제약	81945	149839	1.0	3.0	2.0	1.0	1.0	0	None
2015/7/16	(주)대웅제약	81945	148928	1.0	2.0	1.0	1.0	1.0	0	None
2015/7/12	(주)대웅제약	81945	146716	1.0	2.0	1.0	1.0	1.0	0	2
2015/7/7	(주)대웅제약	81945	143872	2.0	3.0	2.0	3.0	1.0	0	1
2015/7/6	(주)대웅제약	81945	143460	2.0	4.0	1.0	1.0	1.0	0	1
2015/7/21	한미약품(주)	2669	151085	4.0	4.0	2.0	2.0	3.0	0	2
2015/7/21	한미약품(주)	2669	151073	3.0	3.0	3.0	5.0	2.0	1	2
2015/7/8	한미약품(주)	2669	144962	4.0	4.0	3.0	4.0	4.0	1	2
2015/7/5	한미약품(주)	2669	142967	2.0	2.0	3.0	3.0	3.0	0	1
2015/7/1	한미약품(주)	2669	141426	4.0	4.0	3.0	3.0	3.0	1	1
2015/7/16	종근당(주)	55954	148495	1.0	4.0	1.0	4.0	1.0	0	1
2015/7/15	종근당(주)	55954	148265	1.0	2.0	1.0	1.0	1.0	0	1
2015/7/10	종근당(주)	55954	145990	4.0	4.0	3.0	3.0	3.0	1	2
2015/7/22	(주)녹십자	83348	151265	3.0	2.0	5.0	4.0	4.0	1	2
2015/7/18	(주)녹십자	83348	149709	3.0	1.0	3.0	1.0	3.0	1	2
2015/7/17	(주)녹십자	83348	149175	3.0	3.0	3.0	3.0	3.0	0	1
2015/7/17	(주)녹십자	83348	149034	4.0	2.0	2.0	2.0	4.0	0	2
2015/7/14	(주)녹십자	83348	147773	4.0	4.0	5.0	4.0	5.0	1	2
2015/7/12	(주)녹십자	83348	146623	4.0	3.0	5.0	4.0	3.0	1	2
2015/7/8	(주)녹십자	83348	144782	2.0	3.0	4.0	2.0	3.0	1	2
2015/7/7	(주)녹십자	83348	144043	3.0	1.0	1.0	1.0	1.0	0	2
2015/7/28	굿네이버스인터내셔날(사)	86785	154344	4.0	3.0	2.0	3.0	4.0	1	2
2015/7/14	굿네이버스인터내셔날(사)	86785	147746	2.0	3.0	1.0	2.0	1.0	0	1
2015/7/12	굿네이버스인터내셔날(사)	86785	146603	2.0	3.0	1.0	3.0	3.0	0	1
2015/7/6	굿네이버스인터내셔날(사)	86785	143565	4.0	1.0	1.0	2.0	2.0	0	1
2015/7/2	굿네이버스인터내셔날(사)	86785	141474	5.0	3.0	2.0	4.0	3.0	0	2
2015/7/29	(주)셀트리온	71498	154536	1.0	1.0	1.0	1.0	1.0	0	2
2015/7/28	(주)셀트리온	71498	154230	3.0	4.0	1.0	4.0	1.0	0	None
2015/7/21	(주)셀트리온	71498	150939	1.0	1.0	1.0	1.0	1.0	0	1
2015/7/19	(주)셀트리온	71498	150001	4.0	4.0	4.0	4.0	4.0	1	2
2015/7/18	(주)셀트리온	71498	149810	4.0	3.0	2.0	2.0	2.0	0	None
2015/7/17	(주)셀트리온	71498	149453	3.0	4.0	2.0	3.0	2.0	1	2
2015/7/7	(주)셀트리온	71498	143839	1.0	1.0	1.0	1.0	1.0	0	1
2015/7/6	(주)셀트리온	71498	143258	3.0	3.0	2.0	2.0	2.0	1	2
2015/7/1	(주)셀트리온	71498	141345	4.0	3.0	4.0	3.0	2.0	1	2
2015/7/29	제일약품(주)	11279	154569	2.0	2.0	2.0	3.0	2.0	1	1
2015/7/15	제일약품(주)	11279	148368	3.0	4.0	2.0	2.0	3.0	0	1
2015/7/14	제일약품(주)	11279	147613	4.0	4.0	3.0	4.0	4.0	0	2
2015/7/8	제일약품(주)	11279	144542	2.0	3.0	3.0	3.0	3.0	1	1
2015/7/16	한국유나이티드제약(주)	3243	148535	3.0	4.0	3.0	2.0	2.0	0	1
2015/7/13	한국유나이티드제약(주)	3243	147117	2.0	2.0	2.0	2.0	2.0	0	2
2015/7/9	한국유나이티드제약(주)	3243	145303	5.0	1.0	1.0	1.0	1.0	0	2
2015/7/1	한국유나이티드제약(주)	3243	141277	2.0	1.0	1.0	3.0	2.0	0	1
2015/7/9	제이더블유중외제약(주)	11676	145243	2.0	2.0	1.0	1.0	1.0	0	None
2015/7/25	서울대학교병원	28516	153127	3.0	4.0	3.0	2.0	1.0	0	1
