date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2018/3/29	(주)대웅제약	81945	640626	1.0	2.0	1.0	1.0	1.0	0	None
2018/3/22	(주)대웅제약	81945	637391	3.0	2.0	3.0	1.0	1.0	0	None
2018/3/21	(주)대웅제약	81945	636366	1.0	4.0	4.0	4.0	1.0	0	1
2018/3/9	(주)대웅제약	81945	630377	3.0	3.0	2.0	3.0	3.0	1	1
2018/3/6	(주)대웅제약	81945	628883	1.0	2.0	3.0	1.0	1.0	0	None
2018/3/2	(주)대웅제약	81945	626998	3.0	2.0	1.0	3.0	1.0	0	2
2018/3/28	한미약품(주)	2669	640496	3.0	3.0	1.0	1.0	1.0	1	1
2018/3/26	한미약품(주)	2669	639369	3.0	3.0	2.0	2.0	3.0	1	2
2018/3/21	한미약품(주)	2669	636407	2.0	3.0	1.0	1.0	3.0	0	1
2018/3/11	한미약품(주)	2669	631023	2.0	3.0	2.0	2.0	2.0	0	2
2018/3/8	한미약품(주)	2669	629920	4.0	3.0	3.0	3.0	2.0	1	2
2018/3/26	종근당(주)	55954	639087	1.0	4.0	1.0	1.0	1.0	0	1
2018/3/25	종근당(주)	55954	638588	3.0	3.0	1.0	1.0	1.0	0	None
2018/3/14	종근당(주)	55954	632798	3.0	4.0	4.0	3.0	3.0	1	2
2018/3/14	종근당(주)	55954	632735	1.0	1.0	1.0	1.0	1.0	0	1
2018/3/14	종근당(주)	55954	632630	3.0	4.0	3.0	3.0	2.0	1	2
2018/3/9	종근당(주)	55954	630184	2.0	3.0	4.0	2.0	2.0	1	1
2018/3/7	종근당(주)	55954	629451	2.0	4.0	3.0	4.0	3.0	1	1
2018/3/3	종근당(주)	55954	627388	3.0	3.0	3.0	2.0	2.0	0	2
2018/3/24	(주)녹십자	83348	638402	5.0	4.0	5.0	5.0	5.0	1	2
2018/3/24	(주)녹십자	83348	638341	1.0	3.0	2.0	1.0	2.0	0	1
2018/3/19	(주)녹십자	83348	635485	3.0	3.0	3.0	3.0	4.0	0	1
2018/3/16	(주)녹십자	83348	634302	3.0	3.0	3.0	3.0	4.0	1	1
2018/3/9	(주)녹십자	83348	630467	1.0	1.0	3.0	1.0	1.0	0	1
2018/3/1	(주)녹십자	83348	626578	3.0	3.0	4.0	3.0	4.0	1	2
2018/3/21	굿네이버스인터내셔날(사)	86785	636397	4.0	4.0	3.0	3.0	3.0	0	1
2018/3/19	굿네이버스인터내셔날(사)	86785	635580	3.0	3.0	1.0	2.0	1.0	0	None
2018/3/19	굿네이버스인터내셔날(사)	86785	635575	4.0	3.0	1.0	3.0	2.0	1	2
2018/3/2	굿네이버스인터내셔날(사)	86785	626934	2.0	2.0	1.0	3.0	1.0	0	1
2018/3/1	굿네이버스인터내셔날(사)	86785	626700	2.0	2.0	1.0	2.0	1.0	0	None
2018/3/29	(주)셀트리온	71498	641226	4.0	4.0	4.0	4.0	4.0	1	2
2018/3/28	(주)셀트리온	71498	640331	3.0	3.0	1.0	1.0	2.0	0	2
2018/3/26	(주)셀트리온	71498	639078	3.0	3.0	3.0	3.0	3.0	1	1
2018/3/23	(주)셀트리온	71498	638119	3.0	2.0	1.0	3.0	1.0	0	1
2018/3/19	(주)셀트리온	71498	635079	3.0	4.0	2.0	3.0	3.0	1	2
2018/3/8	(주)셀트리온	71498	630108	3.0	5.0	2.0	4.0	5.0	1	2
2018/3/22	제일약품(주)	11279	637395	1.0	2.0	2.0	1.0	1.0	0	1
2018/3/21	제일약품(주)	11279	636493	1.0	4.0	3.0	1.0	1.0	0	None
2018/3/13	제일약품(주)	11279	632060	2.0	3.0	5.0	2.0	3.0	0	None
2018/3/7	제일약품(주)	11279	629096	2.0	1.0	1.0	1.0	1.0	0	1
2018/3/29	한국유나이티드제약(주)	3243	640970	3.0	2.0	3.0	2.0	1.0	1	1
2018/3/22	한국유나이티드제약(주)	3243	637378	3.0	2.0	4.0	3.0	3.0	0	1
2018/3/15	한국유나이티드제약(주)	3243	633666	2.0	2.0	1.0	1.0	1.0	0	2
2018/3/13	한국유나이티드제약(주)	3243	632351	1.0	1.0	1.0	1.0	1.0	0	2
2018/3/13	한국유나이티드제약(주)	3243	632348	1.0	1.0	1.0	1.0	1.0	0	2
2018/3/7	한국유나이티드제약(주)	3243	629164	3.0	3.0	3.0	3.0	3.0	1	1
2018/3/6	한국유나이티드제약(주)	3243	628425	1.0	1.0	2.0	1.0	1.0	0	None
2018/3/29	제이더블유중외제약(주)	11676	640661	3.0	4.0	3.0	3.0	2.0	1	1
2018/3/19	제이더블유중외제약(주)	11676	635029	1.0	4.0	3.0	2.0	3.0	0	None
2018/3/25	서울대학교병원	28516	638500	2.0	2.0	1.0	1.0	1.0	0	1
2018/3/16	서울대학교병원	28516	634325	4.0	2.0	2.0	2.0	2.0	0	1
