date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2018/8/28	(주)대웅제약	81945	799792	3.0	4.0	4.0	4.0	4.0	1	2
2018/8/28	(주)대웅제약	81945	799215	1.0	3.0	1.0	1.0	1.0	0	None
2018/8/25	(주)대웅제약	81945	796603	4.0	4.0	2.0	2.0	2.0	0	1
2018/8/24	(주)대웅제약	81945	795874	4.0	3.0	1.0	3.0	3.0	1	2
2018/8/15	(주)대웅제약	81945	786353	2.0	3.0	3.0	1.0	2.0	0	None
2018/8/13	(주)대웅제약	81945	783855	3.0	2.0	2.0	2.0	2.0	0	1
2018/8/13	(주)대웅제약	81945	783220	2.0	2.0	1.0	3.0	2.0	0	1
2018/8/6	(주)대웅제약	81945	775967	3.0	3.0	3.0	2.0	2.0	1	1
2018/8/4	(주)대웅제약	81945	774578	3.0	3.0	3.0	3.0	3.0	0	1
2018/8/3	(주)대웅제약	81945	774120	3.0	2.0	2.0	4.0	1.0	0	1
2018/8/2	(주)대웅제약	81945	772623	3.0	4.0	4.0	2.0	1.0	0	None
2018/8/30	한미약품(주)	2669	801689	2.0	2.0	3.0	1.0	1.0	0	1
2018/8/28	한미약품(주)	2669	799812	4.0	3.0	3.0	3.0	3.0	1	2
2018/8/26	한미약품(주)	2669	797205	3.0	4.0	2.0	2.0	2.0	0	1
2018/8/25	한미약품(주)	2669	796420	2.0	2.0	2.0	3.0	2.0	0	1
2018/8/24	한미약품(주)	2669	795425	1.0	3.0	1.0	2.0	2.0	0	1
2018/8/20	한미약품(주)	2669	790805	2.0	3.0	2.0	2.0	2.0	0	2
2018/8/19	한미약품(주)	2669	789382	4.0	4.0	3.0	2.0	3.0	1	2
2018/8/19	한미약품(주)	2669	789373	5.0	3.0	5.0	3.0	4.0	1	2
2018/8/15	한미약품(주)	2669	786394	3.0	3.0	2.0	4.0	3.0	1	2
2018/8/13	한미약품(주)	2669	783178	2.0	3.0	2.0	2.0	1.0	0	1
2018/8/11	한미약품(주)	2669	782246	2.0	2.0	2.0	3.0	3.0	0	1
2018/8/9	한미약품(주)	2669	779936	3.0	3.0	3.0	3.0	3.0	0	2
2018/8/8	한미약품(주)	2669	777884	3.0	3.0	1.0	2.0	2.0	0	1
2018/8/7	한미약품(주)	2669	777083	3.0	3.0	2.0	3.0	3.0	0	2
