date	cname	cid	cmid	possibility	pay	balance	culture	management	recommend	expect
2016/8/24	(주)대웅제약	81945	381275	3.0	2.0	2.0	3.0	3.0	1	1
2016/8/23	(주)대웅제약	81945	380630	2.0	3.0	1.0	3.0	3.0	1	1
2016/8/9	(주)대웅제약	81945	374467	3.0	3.0	3.0	3.0	3.0	1	2
2016/8/25	한미약품(주)	2669	381562	3.0	3.0	3.0	3.0	3.0	1	1
2016/8/31	종근당(주)	55954	384150	4.0	4.0	2.0	4.0	4.0	0	1
2016/8/28	종근당(주)	55954	382835	2.0	4.0	1.0	2.0	2.0	0	1
2016/8/23	종근당(주)	55954	380396	3.0	4.0	1.0	2.0	5.0	1	1
2016/8/17	종근당(주)	55954	377794	1.0	1.0	2.0	1.0	2.0	0	None
2016/8/3	종근당(주)	55954	371990	3.0	4.0	3.0	3.0	3.0	1	2
2016/8/3	종근당(주)	55954	371802	4.0	4.0	2.0	2.0	2.0	1	2
2016/8/2	종근당(주)	55954	371174	4.0	4.0	1.0	2.0	3.0	1	1
2016/8/1	종근당(주)	55954	370622	1.0	3.0	2.0	1.0	1.0	0	None
2016/8/30	(주)녹십자	83348	383642	3.0	3.0	3.0	3.0	3.0	1	1
2016/8/1	(주)녹십자	83348	371034	2.0	3.0	3.0	3.0	3.0	1	2
2016/8/6	굿네이버스인터내셔날(사)	86785	373339	3.0	1.0	2.0	3.0	2.0	0	2
2016/8/27	(주)셀트리온	71498	382680	3.0	3.0	3.0	4.0	4.0	1	1
2016/8/26	(주)셀트리온	71498	382282	3.0	4.0	3.0	2.0	1.0	0	2
2016/8/21	(주)셀트리온	71498	379493	3.0	3.0	1.0	2.0	2.0	0	2
2016/8/21	(주)셀트리온	71498	379459	2.0	4.0	2.0	1.0	2.0	0	1
2016/8/3	(주)셀트리온	71498	371967	3.0	4.0	1.0	4.0	2.0	0	2
2016/8/29	제일약품(주)	11279	383185	1.0	3.0	1.0	1.0	1.0	0	1
2016/8/24	제일약품(주)	11279	381022	1.0	2.0	1.0	2.0	2.0	0	1
2016/8/18	제일약품(주)	11279	378088	1.0	3.0	2.0	1.0	1.0	0	None
2016/8/10	제일약품(주)	11279	374998	1.0	2.0	4.0	2.0	1.0	0	1
2016/8/5	제일약품(주)	11279	372653	1.0	1.0	5.0	1.0	1.0	0	1
2016/8/29	한국유나이티드제약(주)	3243	383052	4.0	2.0	2.0	1.0	1.0	0	1
2016/8/26	한국유나이티드제약(주)	3243	382119	2.0	2.0	3.0	1.0	1.0	0	1
2016/8/14	한국유나이티드제약(주)	3243	376512	3.0	3.0	5.0	3.0	2.0	1	2
2016/8/23	제이더블유중외제약(주)	11676	380296	3.0	3.0	3.0	3.0	3.0	0	2
2016/8/9	제이더블유중외제약(주)	11676	374425	2.0	1.0	1.0	1.0	1.0	0	None
2016/8/5	제이더블유중외제약(주)	11676	372914	3.0	1.0	1.0	1.0	1.0	0	1
2016/8/18	서울대학교병원	28516	378307	1.0	1.0	3.0	1.0	1.0	0	1
2016/8/2	서울대학교병원	28516	371316	3.0	4.0	5.0	5.0	5.0	1	2
2016/8/31	국립암센터	89425	384242	3.0	2.0	2.0	3.0	2.0	1	2
2016/8/18	국립암센터	89425	378462	5.0	1.0	2.0	2.0	1.0	1	1
2016/8/3	국립암센터	89425	371722	1.0	1.0	1.0	2.0	2.0	0	1
2016/8/21	보령제약(주)	32152	379365	4.0	4.0	3.0	4.0	4.0	1	2
2016/8/28	일양약품(주)	12787	383000	2.0	2.0	2.0	2.0	2.0	0	1
2016/8/19	일양약품(주)	12787	378750	1.0	2.0	2.0	2.0	1.0	0	2
2016/8/19	일양약품(주)	12787	378549	2.0	2.0	2.0	2.0	2.0	0	1
2016/8/11	일양약품(주)	12787	375534	1.0	3.0	1.0	3.0	1.0	0	None
2016/8/9	일양약품(주)	12787	374419	1.0	1.0	2.0	2.0	2.0	0	1
2016/8/22	일동제약(주)	12961	379900	3.0	4.0	1.0	2.0	3.0	0	1
2016/8/19	일동제약(주)	12961	378571	5.0	5.0	5.0	5.0	5.0	1	1
2016/8/7	일동제약(주)	12961	373577	2.0	3.0	1.0	1.0	1.0	0	1
2016/8/5	일동제약(주)	12961	372759	4.0	2.0	1.0	4.0	2.0	1	2
2016/8/25	삼성바이오로직스(주)	90162	381438	3.0	3.0	2.0	2.0	3.0	1	1
2016/8/24	삼성바이오로직스(주)	90162	381305	2.0	4.0	1.0	2.0	3.0	0	2
2016/8/11	삼성바이오로직스(주)	90162	375349	3.0	4.0	1.0	2.0	1.0	0	2
2016/8/8	삼성바이오로직스(주)	90162	373682	4.0	3.0	4.0	4.0	4.0	1	1
2016/8/1	삼성바이오로직스(주)	90162	370657	3.0	5.0	1.0	3.0	3.0	0	None
2016/8/26	(주)신흥	69628	382109	1.0	3.0	2.0	3.0	1.0	0	None
2016/8/27	(주)셀트리온제약	71496	382627	4.0	3.0	3.0	4.0	3.0	1	2
2016/8/17	한국화이자제약(주)	2894	377708	1.0	1.0	1.0	1.0	1.0	0	None
2016/8/3	한국화이자제약(주)	2894	372092	1.0	3.0	1.0	1.0	1.0	0	None
2016/8/31	대원제약(주)	39412	384606	2.0	1.0	2.0	1.0	3.0	0	2
2016/8/18	(주)한독	48469	378414	3.0	4.0	3.0	5.0	3.0	1	1
2016/8/13	(주)한독	48469	376297	3.0	4.0	2.0	4.0	4.0	0	1
2016/8/3	(주)한독	48469	371724	3.0	5.0	4.0	4.0	3.0	1	1
2016/8/13	(주)덴티움	81208	376311	2.0	1.0	1.0	2.0	1.0	0	1
2016/8/20	(주)휴온스	46956	379116	2.0	3.0	1.0	1.0	3.0	0	2
2016/8/14	(주)휴온스	46956	376417	3.0	3.0	3.0	1.0	1.0	0	1
2016/8/6	(주)휴온스	46956	373168	3.0	3.0	2.0	1.0	1.0	0	2
2016/8/26	에스티팜(주)	221916	382058	5.0	2.0	4.0	4.0	3.0	1	2
2016/8/24	에스티팜(주)	221916	381331	2.0	3.0	2.0	4.0	2.0	1	1
2016/8/9	에스티팜(주)	221916	374584	3.0	2.0	1.0	1.0	1.0	0	1
2016/8/5	에스티팜(주)	221916	372905	4.0	3.0	3.0	5.0	3.0	1	2
2016/8/4	에스티팜(주)	221916	372530	1.0	4.0	2.0	2.0	1.0	1	2
2016/8/23	광동제약(주)	44893	380704	3.0	4.0	5.0	4.0	1.0	1	2
2016/8/21	광동제약(주)	44893	379410	2.0	2.0	2.0	1.0	1.0	0	None
2016/8/16	광동제약(주)	44893	377318	4.0	3.0	4.0	4.0	4.0	1	2
2016/8/28	씨제이헬스케어(주)	94841	382977	2.0	3.0	2.0	2.0	2.0	1	1
2016/8/20	씨제이헬스케어(주)	94841	379025	5.0	3.0	4.0	5.0	4.0	1	2
2016/8/19	씨제이헬스케어(주)	94841	378576	3.0	2.0	2.0	2.0	2.0	0	2
2016/8/4	씨제이헬스케어(주)	94841	372141	4.0	4.0	3.0	4.0	3.0	1	2
2016/8/7	유한양행(주)	59552	373640	4.0	4.0	4.0	3.0	3.0	1	2
2016/8/22	연성정밀화학(주)	195514	379844	2.0	3.0	2.0	2.0	1.0	0	1
2016/8/19	사회복지법인월드비전	88128	378975	3.0	3.0	1.0	3.0	2.0	1	1
2016/8/23	(주)경보제약	86832	380541	3.0	5.0	3.0	4.0	4.0	1	2
2016/8/9	(주)경보제약	86832	374322	2.0	4.0	1.0	1.0	2.0	0	None
2016/8/19	명인제약	89946	378848	1.0	1.0	1.0	1.0	1.0	0	1
2016/8/17	(재)한국의학연구소	86815	377772	1.0	1.0	1.0	1.0	1.0	0	1
2016/8/17	(재)한국의학연구소	86815	377655	2.0	3.0	4.0	3.0	2.0	1	1
2016/8/31	안국약품(주)	21897	384492	2.0	2.0	1.0	4.0	1.0	0	1
2016/8/10	안국약품(주)	21897	374737	2.0	2.0	2.0	1.0	1.0	0	None
2016/8/17	신풍제약(주)	24016	377905	1.0	3.0	4.0	3.0	4.0	1	1
2016/8/13	신풍제약(주)	24016	376215	3.0	3.0	2.0	4.0	5.0	0	None
2016/8/23	경동제약(주)	45769	380496	3.0	3.0	2.0	4.0	2.0	1	1
2016/8/26	바이넥스(주)	76293	382264	2.0	1.0	5.0	2.0	1.0	0	1
2016/8/2	한국장애인고용공단	92517	371475	3.0	2.0	4.0	3.0	3.0	0	1
2016/8/3	(주)하이로닉	144064	371953	5.0	4.0	5.0	4.0	5.0	1	2
2016/8/22	부광약품(주)	31772	379912	3.0	2.0	4.0	2.0	2.0	0	1
2016/8/19	부광약품(주)	31772	378830	3.0	1.0	2.0	2.0	2.0	0	1
2016/8/19	부광약품(주)	31772	378811	1.0	1.0	5.0	3.0	4.0	1	1
2016/8/23	진양제약(주)	9420	380714	1.0	1.0	3.0	1.0	1.0	0	None
2016/8/15	진양제약(주)	9420	376871	3.0	4.0	2.0	4.0	3.0	0	1
2016/8/12	진양제약(주)	9420	375993	2.0	1.0	4.0	2.0	2.0	0	None
2016/8/22	일성신약(주)	12867	379665	1.0	1.0	2.0	2.0	1.0	0	1
2016/8/2	(주)마크로젠	77982	371384	3.0	3.0	3.0	3.0	3.0	0	2
